ID_Producto,Tipo_Producto,pH,Viscosidad_cP,Duración_Tests_meses,Prueba_Dermatológica,Categoría_Cosmético
55,Perfume,5.944723987332641,3217.3996490315317,24,Aprobado,Económico
56,Champú,7.2618007389475085,4674.434804560856,35,Aprobado,Económico
57,Crema,4.914524291885176,1452.863060592192,15,Aprobado,Orgánico
58,Maquillaje,4.553162565965803,4534.918411423036,31,Aprobado,Orgánico
59,Champú,5.261477125220308,3209.6383040657424,26,Aprobado,Económico
60,Maquillaje,4.795691725094978,3971.7199280403174,32,Rechazado,Económico
61,Crema,7.344033010939764,4303.322311723825,14,Aprobado,Premium
62,Maquillaje,6.16836285952525,2446.5005785029166,18,Aprobado,Premium
63,Perfume,6.022716939128331,2612.5904714970447,22,Aprobado,Económico
64,Crema,6.879079468111106,1379.7110294759855,11,Aprobado,Premium
65,Perfume,6.790521907069677,2594.3808232455,8,Aprobado,Económico
66,Champú,6.589349292908667,3493.629914637445,28,Aprobado,Orgánico
67,Perfume,7.44165617613666,2551.436896343369,31,Aprobado,Orgánico
68,Champú,5.330669120174625,1445.2868295216172,10,Aprobado,Económico
69,Crema,6.453569514937285,3120.23724115406,17,Aprobado,Económico
70,Maquillaje,6.44068527544836,1285.86385003022,16,Rechazado,Económico
71,Crema,7.4550962451270815,1122.4099930062002,21,Aprobado,Económico
72,Maquillaje,5.25581198783205,3030.7199212874057,21,Aprobado,Premium
73,Perfume,6.639230909834569,1357.3024723141652,23,Rechazado,Económico
74,Crema,5.772486885514242,4671.372310442163,13,Aprobado,Premium
75,Maquillaje,4.806522157752976,4509.259146843338,32,Aprobado,Premium
76,Crema,4.641628121658888,4741.183673860717,18,Aprobado,Premium
77,Crema,6.099727250708103,2600.335601163088,30,Aprobado,Económico
78,Perfume,5.799399620050857,4980.165676722027,24,Aprobado,Económico
79,Champú,4.6574530038094375,3302.846249911619,28,Aprobado,Económico
80,Crema,5.383605565324614,3439.529526617349,31,Aprobado,Económico
81,Champú,4.848857112725835,3796.9602070938226,28,Aprobado,Premium
82,Crema,5.2156180792632565,4763.506556555665,28,Aprobado,Premium
83,Maquillaje,6.045142342548378,2607.3272214002686,13,Aprobado,Orgánico
84,Maquillaje,4.752198433942006,1712.9534521053417,8,Aprobado,Orgánico
85,Crema,7.115690790423324,1780.9895409091919,22,Aprobado,Orgánico
86,Perfume,5.294395118938322,2868.4588457864265,26,Aprobado,Orgánico
87,Maquillaje,4.921319649654676,3654.2677577235568,18,Aprobado,Orgánico
88,Perfume,5.235637411422085,2675.9970790735874,34,Aprobado,Económico
89,Perfume,5.229124590739378,3761.774467731896,18,Rechazado,Económico
90,Maquillaje,7.34371004098353,1539.5424015177714,34,Aprobado,Premium
91,Maquillaje,7.259161569953619,3022.122068709941,14,Aprobado,Orgánico
92,Perfume,7.281853190625661,1048.5938542126755,9,Aprobado,Económico
93,Crema,6.640918917608485,1403.001764781358,11,Aprobado,Orgánico
94,Maquillaje,6.073799724943335,4556.09895020932,9,Aprobado,Económico
95,Maquillaje,4.641951775757591,3664.0106242072543,6,Aprobado,Económico
96,Maquillaje,5.832309234011551,4662.2821900352055,16,Aprobado,Premium
97,Maquillaje,5.580421385163714,4948.298561494357,11,Aprobado,Premium
98,Champú,5.105503542288675,4723.629296078307,6,Aprobado,Económico
99,Champú,6.6155850050205816,3442.3657374280697,21,Aprobado,Económico
100,Crema,5.230946807634055,1310.3905717738637,11,Aprobado,Orgánico
101,Perfume,5.365109210671504,3901.401050980464,22,Aprobado,Orgánico
102,Champú,5.365670894913686,4932.021090301123,15,Aprobado,Económico
103,Champú,6.825463650358597,2435.6627772780503,28,Aprobado,Premium
104,Maquillaje,5.555810988924446,2748.818540550671,10,Rechazado,Económico
105,Champú,6.965374252512667,2279.0664855441746,8,Aprobado,Orgánico
106,Crema,6.08852298059891,1564.7080973849525,14,Aprobado,Económico
107,Champú,6.97829512601707,4097.262498317386,19,Aprobado,Orgánico
108,Perfume,7.269146751028089,1266.890525322503,29,Rechazado,Económico
109,Crema,5.7849996153680046,3788.9735461643822,31,Aprobado,Premium
110,Maquillaje,4.740579258916614,4252.909176841132,9,Aprobado,Orgánico
111,Champú,7.1738488695621685,1449.778842766659,21,Aprobado,Económico
112,Perfume,4.862750974233018,1768.2069805328474,31,Aprobado,Económico
113,Perfume,6.0303337247122455,3725.183505909195,30,Aprobado,Premium
114,Champú,6.4657757453287275,4837.589254297645,11,Aprobado,Económico
115,Champú,5.211606606507744,4762.816370094186,12,Aprobado,Premium
116,Champú,5.8183440097601125,4633.945955809209,31,Aprobado,Premium
117,Maquillaje,6.41425378182775,3204.343890753008,14,Aprobado,Económico
118,Perfume,5.809734141049663,3844.9777453474803,23,Aprobado,Orgánico
119,Champú,6.3461378807646485,2847.86275458454,15,Aprobado,Orgánico
120,Maquillaje,5.397350168923608,1483.2879114161847,18,Aprobado,Premium
121,Champú,7.21715904096059,3630.2101562207185,8,Aprobado,Económico
122,Maquillaje,6.61000853539895,3142.4848042595877,13,Aprobado,Premium
123,Maquillaje,4.906907692698901,3885.6849761728345,6,Aprobado,Premium
124,Maquillaje,5.5982279199477505,1681.7283707644192,12,Aprobado,Orgánico
125,Maquillaje,5.7919939378891625,2958.092810346821,27,Aprobado,Orgánico
126,Maquillaje,5.143214740133382,1494.3352112059167,17,Aprobado,Económico
127,Perfume,5.875949364528879,1313.0382292100694,23,Aprobado,Orgánico
128,Maquillaje,5.86673927270655,2081.183168549728,7,Aprobado,Económico
129,Champú,5.870871039724904,4892.003703493024,23,Aprobado,Premium
130,Maquillaje,5.172822803805994,4656.205040655188,32,Rechazado,Premium
131,Maquillaje,5.354729188135815,4523.4212772479095,31,Aprobado,Económico
132,Crema,7.245684691034949,2361.6558459029793,18,Aprobado,Económico
133,Champú,6.043171670789484,4866.961483697904,13,Aprobado,Económico
134,Maquillaje,6.579275495361564,4897.008042132549,12,Aprobado,Económico
135,Crema,4.717083311716403,2795.4335446035257,28,Aprobado,Económico
136,Crema,5.684493097174175,4519.621562164464,11,Aprobado,Premium
137,Perfume,6.174153302192915,4090.7659495223243,16,Aprobado,Económico
138,Champú,5.758127781057534,2182.2826018470387,22,Aprobado,Orgánico
139,Champú,4.588430187070199,1493.9538309186084,27,Aprobado,Orgánico
140,Perfume,4.6357006680244135,2230.4085670138456,8,Aprobado,Económico
141,Perfume,5.907903075952413,1056.8519831554352,20,Aprobado,Económico
142,Maquillaje,4.939771774940037,4923.203890466037,21,Aprobado,Económico
143,Champú,5.460598500000698,2264.9972531357353,9,Aprobado,Premium
144,Perfume,7.1350088574702095,2732.0562130473363,31,Aprobado,Orgánico
145,Crema,4.833372978966869,2933.2466454572323,24,Aprobado,Orgánico
146,Perfume,4.649426366711896,1124.297460771543,16,Aprobado,Económico
147,Perfume,6.045200724631528,4501.79208951737,33,Aprobado,Orgánico
148,Maquillaje,7.374279422190249,4521.33799717104,34,Aprobado,Económico
149,Champú,6.624905944835486,2284.4357959466106,9,Aprobado,Premium
150,Maquillaje,7.1548612848482795,2837.1801283835284,16,Aprobado,Económico
151,Maquillaje,5.727663022100051,4019.5824592311737,6,Rechazado,Premium
152,Crema,6.063038478619141,1035.002741422005,30,Aprobado,Económico
153,Perfume,6.0287686506708145,3499.7453888665696,13,Aprobado,Premium
154,Perfume,6.35645855483036,1258.5684486226432,33,Aprobado,Económico
155,Perfume,6.4764320043309835,4777.254440118024,32,Aprobado,Económico
156,Crema,7.474859810593319,3189.260730934606,19,Aprobado,Económico
157,Champú,7.033596633431894,3347.601607892893,9,Aprobado,Orgánico
158,Crema,6.761284036132155,4810.392093420991,24,Aprobado,Económico
159,Champú,7.0378859315459295,4528.5143609097595,8,Aprobado,Premium
160,Champú,6.918813984728555,3741.69996134526,18,Aprobado,Premium
161,Champú,5.1693732020151,2308.0588206630346,23,Aprobado,Premium
162,Perfume,7.165413370118729,4026.365067551355,9,Aprobado,Orgánico
163,Maquillaje,5.003684713309128,1777.9256091502139,19,Aprobado,Económico
164,Crema,5.842320994848844,1095.9549046711002,29,Rechazado,Económico
165,Champú,6.62572356796609,2540.737012663748,18,Aprobado,Premium
166,Perfume,6.307886225595697,4048.8228275524484,20,Aprobado,Económico
167,Maquillaje,5.497324161704834,1054.758643112273,21,Aprobado,Premium
168,Crema,5.186373227391752,3681.7522151023327,8,Aprobado,Premium
169,Maquillaje,5.572290442705468,3104.6065317671555,29,Aprobado,Económico
170,Maquillaje,7.213594533919011,2364.1042144817075,24,Aprobado,Económico
171,Maquillaje,5.854044225018042,1664.7326251994205,19,Aprobado,Premium
172,Crema,5.401359789102238,1412.8656161260271,21,Aprobado,Orgánico
173,Crema,5.378204032076813,1282.4948020298498,7,Aprobado,Económico
174,Perfume,5.95936875293674,4180.2148324326945,14,Aprobado,Premium
175,Perfume,6.190378631580615,2050.344514103715,31,Aprobado,Premium
176,Perfume,7.040633142945145,4004.4928854234613,16,Aprobado,Económico
177,Champú,5.303799472726276,1570.2369609340262,8,Aprobado,Premium
178,Perfume,6.653501291858823,1032.915456081966,22,Aprobado,Orgánico
179,Maquillaje,6.8052280943916985,2051.4750657191785,20,Aprobado,Económico
180,Crema,6.310445958896491,4526.683615622947,7,Aprobado,Premium
181,Maquillaje,7.315392625012141,3879.274901905181,29,Aprobado,Premium
182,Champú,6.448417520741172,2217.6532862957242,31,Aprobado,Económico
183,Maquillaje,7.273345107197725,4541.744734748727,24,Aprobado,Orgánico
184,Champú,6.633083917346024,3155.346723839493,24,Aprobado,Premium
185,Perfume,6.777918947520715,2552.022322862097,20,Aprobado,Económico
186,Champú,5.270963248022254,1078.4818852159876,13,Aprobado,Premium
187,Champú,6.284749889571955,2899.717696881713,21,Aprobado,Premium
188,Crema,6.638174723863045,2200.2659682004255,35,Aprobado,Premium
189,Perfume,6.30825966128519,1649.8464394726843,15,Aprobado,Económico
190,Maquillaje,6.429062659249084,3257.153097522626,28,Rechazado,Premium
191,Crema,6.757073793159494,3061.3109594404896,14,Aprobado,Orgánico
192,Crema,5.370905219271707,1601.220541901234,33,Aprobado,Económico
193,Champú,4.669131936593726,2650.7548219668597,27,Aprobado,Económico
194,Perfume,6.152989874277872,4557.842631370224,12,Aprobado,Orgánico
195,Maquillaje,5.140707690659091,3709.78921141928,13,Aprobado,Económico
196,Champú,7.349305018091899,4972.519656135026,31,Aprobado,Premium
197,Champú,7.331840538619386,3473.4863818489475,9,Aprobado,Premium
198,Crema,4.55396176463752,1843.9231394896635,11,Aprobado,Orgánico
199,Perfume,6.634145981221942,3662.817859255474,15,Aprobado,Premium
200,Champú,4.677548689918211,1342.9488422425538,14,Aprobado,Premium
201,Maquillaje,5.926042480802781,2015.41205641312,15,Aprobado,Económico
202,Perfume,4.621895811295328,1983.6636617135998,9,Aprobado,Orgánico
203,Crema,6.967258338297032,4430.736384823423,13,Aprobado,Premium
204,Perfume,6.711945231859634,2120.0258039279925,29,Aprobado,Orgánico
205,Champú,6.919785187792343,1969.1681963608848,21,Aprobado,Orgánico
206,Perfume,7.0913690082653,2714.553057861024,34,Aprobado,Económico
207,Crema,6.888630856394297,3194.490683274278,14,Aprobado,Premium
208,Champú,7.199988024240112,1082.339377393919,13,Aprobado,Orgánico
209,Crema,5.050653556431472,1030.980852640902,32,Aprobado,Orgánico
210,Maquillaje,6.505902345053309,1808.5673382320683,19,Aprobado,Premium
211,Crema,5.889300614946525,2279.082046925642,22,Aprobado,Orgánico
212,Perfume,6.7765304597087646,2718.586411303458,18,Aprobado,Orgánico
213,Crema,7.337065915186466,1067.3623822259474,24,Aprobado,Premium
214,Crema,6.380952045796624,2167.6735619887113,12,Aprobado,Premium
215,Champú,5.625564480711265,2114.5745334213198,15,Aprobado,Orgánico
216,Maquillaje,6.863221490073144,1165.6479072994737,35,Aprobado,Económico
217,Champú,5.7033545074456695,3067.171596963469,29,Aprobado,Económico
218,Perfume,6.622260782277447,4920.787270771736,20,Aprobado,Económico
219,Champú,5.585103186323543,3763.198817398532,35,Aprobado,Económico
220,Crema,6.962750974156526,4368.197637164949,29,Aprobado,Económico
221,Maquillaje,6.193087744733568,1861.4672531802876,20,Aprobado,Orgánico
222,Perfume,4.600148405112904,3345.0772845898373,27,Rechazado,Económico
223,Crema,5.212104288313485,4010.854350180357,13,Aprobado,Económico
224,Perfume,6.800203161886426,4358.913708626936,35,Aprobado,Económico
225,Maquillaje,6.41001354043987,4128.20158586063,25,Aprobado,Premium
226,Crema,5.008195683206873,3660.1278878111934,20,Aprobado,Premium
227,Crema,5.821014196282519,2486.918774902044,10,Aprobado,Económico
228,Perfume,7.414936822524809,1759.296465306004,22,Rechazado,Premium
229,Perfume,5.328101303634551,3636.06699375995,9,Aprobado,Premium
230,Crema,7.332888499118438,3417.4345693410655,31,Aprobado,Premium
231,Maquillaje,5.408532408498056,3874.8830348749298,19,Aprobado,Económico
232,Crema,5.706927220698935,1087.7718276873666,14,Aprobado,Premium
233,Perfume,5.151420221783813,1753.7354682330335,25,Aprobado,Premium
234,Champú,4.5109865441837345,2485.699661255406,22,Aprobado,Premium
235,Champú,5.486738613301931,1614.0949615567513,18,Aprobado,Económico
236,Crema,7.355096649794146,2588.3760540925396,22,Aprobado,Premium
237,Champú,6.000030201229614,1617.664561310857,30,Rechazado,Económico
238,Champú,7.411310186941148,1200.425242606566,19,Aprobado,Orgánico
239,Perfume,5.0400687388803815,2215.2500478009993,27,Aprobado,Premium
240,Crema,5.529743042065241,1099.2765536600991,9,Aprobado,Orgánico
241,Champú,6.5013335864887,3825.7822143056705,21,Aprobado,Orgánico
242,Crema,5.045869125764524,4943.037006534629,33,Rechazado,Económico
243,Crema,7.136148446755071,2464.788100647583,15,Aprobado,Económico
244,Perfume,7.418783483065518,1635.3840558216746,9,Aprobado,Económico
245,Maquillaje,7.330100890338132,3559.036658681277,30,Aprobado,Económico
246,Maquillaje,7.059093035635314,4810.939395602439,15,Rechazado,Económico
247,Maquillaje,5.670826539823257,4849.029592583887,10,Aprobado,Orgánico
248,Maquillaje,7.064478355874177,3525.7191110061353,12,Aprobado,Económico
249,Perfume,4.998186237174252,1191.4480146093088,32,Aprobado,Orgánico
250,Perfume,4.869594866459737,4587.105294326731,23,Aprobado,Orgánico
251,Crema,4.707267637303539,3365.5573639802387,26,Rechazado,Económico
252,Maquillaje,4.873776033048387,4972.188414532544,12,Aprobado,Orgánico
253,Perfume,5.390485260100376,1944.8755380425382,24,Aprobado,Premium
254,Perfume,6.630258591094046,4622.647362154165,24,Aprobado,Premium
255,Maquillaje,7.352900710321363,4104.885950584225,14,Aprobado,Premium
256,Perfume,5.54425265678057,1327.275382438021,30,Aprobado,Orgánico
257,Crema,4.551099516349052,1169.0908064658224,26,Aprobado,Económico
258,Crema,6.58595713811678,2388.8939206090668,26,Aprobado,Económico
259,Perfume,4.9604037333088495,4018.81701426285,31,Aprobado,Económico
260,Champú,7.467085803765008,3891.363147843849,20,Aprobado,Económico
261,Maquillaje,5.455472217577769,3796.5225600373687,14,Aprobado,Económico
262,Maquillaje,7.21155314438716,3767.5554894502598,27,Aprobado,Orgánico
263,Perfume,5.066306821814115,3326.0832239145584,12,Aprobado,Económico
264,Maquillaje,4.905852156428954,3384.4449874362613,29,Aprobado,Orgánico
265,Maquillaje,5.8170091502534955,4230.212493735668,33,Aprobado,Económico
266,Perfume,6.071005333180444,1208.365653417092,25,Aprobado,Económico
267,Crema,5.483903895239682,4828.631498464614,23,Aprobado,Económico
268,Perfume,5.6550969440870205,3421.582185549616,27,Aprobado,Orgánico
269,Champú,6.586359413948567,1812.2425209419903,31,Aprobado,Orgánico
270,Perfume,6.729037762705527,3940.2957225595965,14,Aprobado,Económico
271,Maquillaje,4.930730260004651,4598.383700023398,14,Aprobado,Premium
272,Maquillaje,4.9296935202578425,3553.2184772296378,8,Aprobado,Económico
273,Maquillaje,6.605783176676239,2795.5184986977874,10,Rechazado,Orgánico
274,Maquillaje,5.802899990324097,3159.852598218576,24,Aprobado,Económico
275,Perfume,5.286667813346504,4809.768682199196,28,Aprobado,Orgánico
276,Champú,7.060183598205326,3712.6879378505223,8,Aprobado,Premium
277,Crema,4.769623476029137,3137.2968900614173,14,Aprobado,Premium
278,Perfume,4.507649213766922,4437.924600195976,21,Aprobado,Premium
279,Champú,7.176934263642418,4504.1702665811,29,Aprobado,Económico
280,Crema,5.551613083209638,4426.600538177486,27,Aprobado,Económico
281,Champú,7.281525288082323,4501.572081986058,6,Aprobado,Económico
282,Maquillaje,6.1153544467225665,4388.762953447819,29,Aprobado,Orgánico
283,Champú,7.007627698328304,1572.0901726363836,11,Aprobado,Premium
284,Maquillaje,7.10396169304743,4675.46836485805,35,Aprobado,Económico
285,Perfume,5.140968676986965,4792.854301758747,8,Aprobado,Económico
286,Champú,5.82369881147557,2300.0109401187956,31,Aprobado,Económico
287,Maquillaje,5.773133841124016,3268.896257407042,32,Aprobado,Económico
288,Perfume,4.500109066592493,3660.110751214222,18,Rechazado,Económico
289,Maquillaje,4.881257580915804,3068.59763141573,31,Aprobado,Premium
290,Maquillaje,5.291100054930032,2898.0923214986656,9,Aprobado,Económico
291,Perfume,5.264698973947102,4809.483310931559,22,Aprobado,Orgánico
292,Crema,6.6413909012503325,2705.9926153978495,12,Aprobado,Premium
293,Perfume,4.9681508745508145,1337.9396789735883,16,Aprobado,Premium
294,Maquillaje,7.0828679896114215,1466.9587478851502,16,Aprobado,Premium
295,Perfume,4.739865251365426,4531.609064767382,6,Aprobado,Orgánico
296,Maquillaje,7.208268193543918,2490.08665616676,17,Aprobado,Premium
297,Champú,6.54420443042275,2833.7855906634854,22,Aprobado,Premium
298,Perfume,5.73724578823189,2368.9575576427133,29,Aprobado,Económico
299,Champú,5.753221837802824,1471.8713723582396,16,Aprobado,Premium
300,Perfume,5.804575757289848,4525.849088409312,19,Aprobado,Premium
301,Champú,5.194355405280143,2837.4799029910887,30,Rechazado,Premium
302,Crema,6.131052826280942,4494.0180388962,19,Aprobado,Premium
303,Champú,4.519509209684102,2033.2128886180358,10,Aprobado,Orgánico
304,Crema,5.001628779742887,1253.1372924205089,12,Aprobado,Premium
305,Perfume,5.8599895934574935,2510.019534556801,20,Aprobado,Premium
306,Champú,7.038098472387405,1632.1078962372208,28,Aprobado,Premium
307,Crema,4.597650679292217,3228.279207642182,7,Aprobado,Económico
308,Perfume,4.561729435418439,4551.664707924498,15,Aprobado,Económico
309,Maquillaje,4.637097100584906,2494.9572885960793,29,Aprobado,Económico
310,Perfume,6.987867047534596,3281.5696870042025,10,Aprobado,Económico
311,Perfume,5.17442707416961,2725.370754284879,32,Aprobado,Económico
312,Maquillaje,5.798565160886495,2767.2667231532923,33,Aprobado,Orgánico
313,Crema,6.375617874817133,2704.0729141026804,34,Rechazado,Económico
314,Maquillaje,6.623374458756851,3180.538471533244,11,Rechazado,Orgánico
315,Perfume,4.725046657697138,2898.7000307241215,30,Aprobado,Económico
316,Crema,5.756222468131125,2093.1174684437738,14,Aprobado,Premium
317,Maquillaje,6.472511798473402,3053.62557049351,25,Aprobado,Premium
318,Crema,7.238667614293863,3156.746634261713,30,Aprobado,Premium
319,Maquillaje,6.472296161038891,3927.6761621563332,13,Aprobado,Orgánico
320,Champú,5.085012779843342,3234.299288499341,34,Aprobado,Económico
321,Perfume,6.2442775135197,4874.541446188781,27,Aprobado,Premium
322,Crema,5.170786950284429,3594.0099011725965,23,Aprobado,Premium
323,Maquillaje,7.2002214371847115,2878.466952221728,27,Aprobado,Económico
324,Perfume,6.62653210642701,4123.788964178131,27,Aprobado,Orgánico
325,Maquillaje,5.59181134188799,2573.2675050531516,31,Aprobado,Económico
326,Perfume,4.516077471361464,2534.9729755588583,30,Aprobado,Orgánico
327,Maquillaje,5.984098662934428,1947.3030413207907,22,Aprobado,Premium
328,Perfume,4.809463834441984,2062.376992928941,9,Aprobado,Económico
329,Maquillaje,6.534767941452122,4193.219434170342,28,Aprobado,Económico
330,Maquillaje,4.701579886306711,2235.8353900970797,8,Aprobado,Económico
331,Maquillaje,5.210532910086686,3277.1133225732724,10,Aprobado,Premium
332,Champú,7.328366706367685,4835.61142872745,11,Rechazado,Orgánico
333,Perfume,7.221077645097357,4553.16365184209,12,Aprobado,Económico
334,Maquillaje,6.4434297984527085,3150.7619066900206,29,Aprobado,Premium
335,Champú,4.597231415220144,1268.2382259319395,9,Rechazado,Premium
336,Crema,7.403487377697503,3456.1253128575395,14,Aprobado,Económico
337,Crema,7.275696815247245,2106.3687808576956,24,Aprobado,Premium
338,Crema,6.682631977298606,2373.083655389497,7,Aprobado,Económico
339,Crema,5.665365656242021,3580.7870594454334,29,Aprobado,Premium
340,Crema,7.226540202977552,1854.1140284404332,12,Rechazado,Económico
341,Champú,7.179892049706193,4717.113568489129,21,Aprobado,Económico
342,Maquillaje,6.795340012855442,1032.5845060524048,16,Aprobado,Económico
343,Maquillaje,6.971228440715766,1346.932932560236,31,Aprobado,Económico
344,Crema,6.137547039690832,3256.0619615211867,16,Aprobado,Económico
345,Perfume,4.6237408820321315,2554.8194101649933,27,Rechazado,Económico
346,Champú,6.311033933854974,2193.39936614271,8,Aprobado,Premium
347,Maquillaje,5.254136799897063,2429.5249370541615,27,Aprobado,Económico
348,Maquillaje,7.4570124275672836,3638.3734752365394,11,Aprobado,Económico
349,Champú,4.6248290691436935,2278.996281605928,26,Aprobado,Premium
350,Champú,5.2849157154550195,2613.2436893711456,6,Aprobado,Orgánico
351,Champú,7.010064070975887,2819.176923917674,35,Rechazado,Premium
352,Crema,5.703820186088178,3278.8933993599053,21,Rechazado,Premium
353,Maquillaje,5.433808922227283,4074.7490365347135,29,Aprobado,Premium
354,Maquillaje,5.313200930550053,4243.131170015016,30,Aprobado,Orgánico
355,Champú,7.311818950363928,4114.440144692217,11,Aprobado,Premium
356,Crema,6.3081643157601075,4368.424795758981,10,Aprobado,Económico
357,Maquillaje,5.714905245737595,4461.854815833297,13,Aprobado,Premium
358,Perfume,6.039630479225611,2371.063140614712,18,Aprobado,Económico
359,Maquillaje,4.944295182676306,3153.937399828738,31,Aprobado,Económico
360,Perfume,6.638252039211553,2339.4956693984855,11,Aprobado,Premium
361,Maquillaje,7.195954022309438,1519.519452004158,32,Aprobado,Económico
362,Maquillaje,4.647132825041604,4227.230769304544,30,Aprobado,Económico
363,Champú,5.4144859305899855,3522.1731843311313,31,Aprobado,Económico
364,Perfume,7.224869433971247,1189.2872394722299,34,Aprobado,Económico
365,Crema,5.942670216523867,4345.960864931215,8,Rechazado,Económico
366,Maquillaje,5.2083570928109015,3842.2174551125627,9,Rechazado,Económico
367,Perfume,7.326376686115049,2938.894725163389,21,Aprobado,Económico
368,Maquillaje,7.462340180350511,4450.689014715152,6,Aprobado,Premium
369,Champú,5.1299467447639335,4606.559625101092,21,Aprobado,Económico
370,Perfume,7.45455762016751,2984.2137941434694,15,Aprobado,Económico
371,Champú,5.570017527976569,1644.9176575818215,29,Aprobado,Premium
372,Champú,7.080161758271782,1224.6091331117382,33,Rechazado,Premium
373,Champú,5.180586194241803,3826.679653265947,27,Rechazado,Premium
374,Champú,6.3792488007524355,3150.281090875181,32,Aprobado,Premium
375,Perfume,6.52766524208851,4091.7634454337244,13,Aprobado,Premium
376,Perfume,7.1961216277871065,3437.571906114725,16,Aprobado,Orgánico
377,Maquillaje,6.788740727461442,1266.2029438617988,17,Aprobado,Económico
378,Champú,5.449621965328078,1856.3062837534105,31,Rechazado,Económico
379,Perfume,7.280266312386655,3455.1859715549126,18,Aprobado,Económico
380,Perfume,7.124521900510749,1174.1650049144746,29,Aprobado,Premium
381,Maquillaje,5.502571818771669,1385.6160070160129,34,Aprobado,Premium
382,Crema,7.369576264603495,2541.381782722283,29,Aprobado,Económico
383,Maquillaje,6.717822001310998,3308.804477180121,21,Aprobado,Económico
