Identificador,TipoProducto,FechaFabricacion,Voltaje,Corriente,Desempeno,ConsumoEnergetico,ValorMercado
597,Smartphone,2022-03-31,3.1714,1.9167,35.063,6.5688,43.1297
2953,Smartphone,2020-12-29,10.2376,0.5306,40.089,6.0257,38.9628
8847,Tablet,2021-10-17,11.3552,1.3138,48.2954,14.6658,68.4894
8310,Tablet,2022-01-29,14.5745,1.8019,58.9801,26.8624,99.9743
3761,Accesorio,2020-03-21,14.3173,0.5241,52.0843,8.3297,61.6569
8295,Laptop,2020-05-17,10.8432,2.5885,53.3477,27.0113,95.4871
2163,Accesorio,2021-10-01,12.1574,4.2581,64.9567,52.6248,163.8687
1850,Accesorio,2020-09-20,4.7737,3.0568,42.7903,15.1618,62.7218
481,Accesorio,2022-03-01,10.0869,2.6138,58.3587,28.2573,100.7266
4000,Laptop,2020-10-11,14.9504,4.6407,70.9849,69.1752,207.6115
6641,Smartphone,2021-10-18,12.8297,3.4398,62.7306,44.9536,143.2074
8190,Laptop,2022-11-16,6.0993,1.479,33.494,6.7534,41.1739
3915,Smartphone,2021-09-22,11.9918,2.9876,65.4464,37.0679,126.4803
7748,Tablet,2021-04-11,14.4347,2.0083,58.3713,31.0763,112.87
6258,Tablet,2020-03-09,13.1948,1.2686,52.6611,17.404,80.2413
1297,Laptop,2022-10-21,12.3444,3.2949,57.0343,38.4369,125.8913
3485,Laptop,2022-03-11,7.6929,1.2104,41.3025,9.9345,59.4428
7445,Accesorio,2020-02-19,5.7211,4.0727,57.8127,20.3594,84.2772
8239,Accesorio,2022-04-13,11.4717,0.7452,46.0237,10.3447,51.431
8178,Laptop,2021-12-06,9.9428,1.9535,49.1205,17.7487,72.1468
2306,Smartphone,2022-05-22,4.4769,0.6679,31.3795,3.859,31.8755
2201,Tablet,2020-09-04,3.543,1.0843,35.4508,3.4025,33.8449
406,Tablet,2021-09-15,7.9944,1.0346,38.4242,6.8783,46.3506
2341,Tablet,2020-06-13,4.9916,4.6,54.6709,23.5595,89.3864
88,Accesorio,2021-10-06,14.0765,3.2824,67.1605,45.8023,151.0794
6651,Accesorio,2020-09-04,10.7844,4.0179,56.3383,43.6687,138.2474
5279,Smartphone,2020-09-06,10.0197,1.342,51.0497,12.4915,62.5514
541,Tablet,2022-05-21,9.1612,4.1266,60.4851,38.6068,131.858
4109,Tablet,2020-10-17,5.0345,4.9783,51.3247,25.0123,91.5975
4448,Tablet,2022-02-23,8.4107,1.3211,42.6227,11.615,61.9828
3138,Smartphone,2021-02-04,11.1608,4.1561,63.2452,47.2932,144.4638
5113,Smartphone,2021-11-13,6.3263,3.132,49.264,19.1,76.7306
226,Smartphone,2022-10-07,8.1182,2.9348,49.3865,21.2859,87.4097
2901,Smartphone,2022-01-27,10.6524,4.2343,61.9543,44.8217,138.0975
6917,Smartphone,2021-09-20,11.1024,1.1136,45.9767,11.7863,55.8947
7149,Laptop,2022-07-26,13.345,2.3478,54.3805,32.7066,113.9423
3343,Smartphone,2022-06-09,14.0822,1.6728,56.9959,21.6814,92.2621
5715,Tablet,2020-11-04,3.229,3.3105,42.812,11.0734,53.074
3297,Laptop,2022-09-08,5.9555,4.0568,51.2808,23.6491,86.0966
5695,Tablet,2021-05-15,8.7645,1.9405,46.5896,16.8997,74.5442
5030,Smartphone,2021-01-12,8.6857,0.8312,42.9705,9.2822,53.2718
1985,Accesorio,2020-09-12,8.8928,1.1565,44.3318,10.8019,57.3205
4318,Laptop,2021-11-02,14.3786,4.0764,72.3558,57.0468,181.3981
6564,Smartphone,2022-09-27,5.7769,4.5469,54.1711,26.5189,95.9522
700,Laptop,2021-05-24,6.3459,0.559,39.0337,4.2788,39.6603
6806,Smartphone,2022-04-09,11.469,2.185,52.8036,24.1472,87.5655
3565,Laptop,2020-11-14,4.6479,3.2783,47.1208,15.2589,64.7739
8394,Laptop,2022-11-17,6.8687,2.1988,42.5792,14.3828,68.0833
2231,Smartphone,2022-12-02,11.5968,1.8887,49.6059,20.061,79.3841
5401,Accesorio,2022-03-16,8.6865,1.2339,39.5097,11.155,60.6359
4427,Smartphone,2020-06-10,,,37.9216,4.5178,48.1059
3156,Accesorio,2022-10-25,6.1331,4.5795,55.3577,26.8916,101.6974
6960,Laptop,2021-05-19,8.5679,1.1213,45.4925,10.6958,54.4529
7990,Accesorio,2021-11-29,,,43.5258,3.4065,46.7145
2095,Tablet,2020-01-07,4.9209,1.9045,35.5073,8.3272,45.0505
2159,Laptop,2022-01-17,6.7,4.5451,60.3718,29.8031,108.7905
424,Accesorio,2022-03-21,12.2469,1.1524,50.0392,13.7807,63.581
7010,Tablet,2022-10-11,6.86,2.2469,42.9721,16.1825,71.018
5995,Smartphone,2021-03-14,11.912,3.3275,64.0723,37.8692,125.3111
5673,Smartphone,2020-01-03,9.3975,4.9733,59.8976,44.8148,142.1298
1505,Accesorio,2021-01-21,6.6364,2.7549,51.1787,20.4554,81.1056
1097,Accesorio,2021-09-20,11.547,0.9363,48.7672,10.0924,53.8889
8694,Tablet,2021-07-11,7.3622,3.8467,56.3438,26.7789,101.6521
7846,Accesorio,2020-04-19,4.2699,2.0616,35.9347,7.4929,44.3813
578,Accesorio,2022-08-14,13.5938,2.0011,55.0461,28.3527,105.8041
5262,Tablet,2021-11-01,8.5783,3.1923,54.8819,26.9772,104.0337
8667,Laptop,2021-03-07,12.2043,2.4245,56.0829,28.8571,99.9359
2360,Accesorio,2022-08-18,12.3554,4.0135,62.7605,50.1616,155.6514
7128,Smartphone,2020-11-19,5.4467,0.5526,33.8135,3.8137,30.9842
1029,Laptop,2020-01-01,13.4649,2.3537,58.5227,31.1414,114.527
8415,Accesorio,2022-02-11,9.3374,4.2435,52.2905,39.0394,125.1285
1486,Accesorio,2020-12-13,12.0226,1.1424,52.0913,14.5898,69.4159
5237,Laptop,2020-07-19,6.8408,2.6994,50.6688,18.3586,80.4435
6984,Laptop,2022-02-02,10.9832,1.2761,47.6143,15.103,68.2368
1571,Smartphone,2022-03-03,12.0126,2.7194,54.1385,33.7107,114.503
4359,Tablet,2022-04-13,,,49.076,18.2161,80.3212
8607,Tablet,2020-12-07,12.9039,2.7111,56.8195,33.1194,117.832
4648,Accesorio,2020-01-22,3.9486,2.6769,41.0497,11.3247,48.3117
7212,Tablet,2021-09-05,14.1104,3.327,67.8344,46.8787,152.5226
3628,Laptop,2021-08-21,3.5165,3.9169,45.3319,14.1248,64.3163
113,Accesorio,2021-04-04,6.2622,4.4521,58.6989,28.9604,105.7307
4952,Accesorio,2022-09-09,7.2236,3.7798,53.0968,27.2677,102.4494
5588,Accesorio,2020-09-23,,,45.4413,18.1761,76.0292
3131,Accesorio,2020-10-28,13.5348,1.9259,50.0193,27.5269,99.8641
2085,Smartphone,2021-04-04,6.158,3.7307,50.0176,23.1348,89.0014
3160,Tablet,2022-01-19,14.2669,4.513,75.4616,65.77,200.2356
22,Laptop,2020-11-28,,,40.4604,5.0812,50.2358
3292,Smartphone,2021-02-03,7.8011,2.0864,43.9128,14.7812,71.3301
3077,Accesorio,2020-05-10,3.5651,3.3436,42.4204,12.4809,61.0177
8456,Smartphone,2020-06-17,12.7927,4.7705,72.5138,60.1204,184.4395
8539,Accesorio,2022-11-21,,,55.1305,21.7556,89.7639
1391,Accesorio,2020-07-21,3.7773,2.161,36.6015,9.0239,51.5999
3839,Accesorio,2021-06-05,5.7235,2.1379,39.7448,11.2372,54.4217
5843,Tablet,2021-06-04,4.8162,1.6267,39.8366,7.3259,43.8077
6671,Smartphone,2021-06-13,4.4101,0.9777,30.0536,5.8368,36.4997
6453,Tablet,2020-08-25,6.871,3.2151,47.5096,22.6086,84.1323
4831,Laptop,2021-08-22,10.0764,0.7843,41.4167,6.3625,43.2919
3771,Smartphone,2022-03-08,4.7783,1.9581,43.1396,10.1051,51.1328
402,Smartphone,2020-12-04,6.9878,4.1875,58.0195,28.0232,105.1475
2377,Accesorio,2020-09-12,4.2082,3.4903,41.6117,13.9437,59.6958
8612,Laptop,2020-08-29,9.1646,1.1927,43.2726,10.8531,58.7102
5513,Smartphone,2022-12-01,4.8043,4.6959,52.8512,21.7588,85.0083
1559,Smartphone,2022-08-14,13.5245,4.9207,72.4265,66.7262,202.8476
437,Accesorio,2021-06-15,6.8761,0.7633,37.2557,4.5716,39.9784
7157,Smartphone,2020-08-17,12.838,1.1977,56.0741,14.6466,74.3156
6640,Tablet,2020-10-07,10.1855,2.3975,46.6274,24.0736,84.7735
5488,Accesorio,2020-05-24,4.7067,1.2943,38.5242,6.2798,44.0463
458,Laptop,2020-02-06,13.949,0.8681,51.0011,11.0629,63.1381
8180,Accesorio,2022-07-13,8.502,2.9445,51.5194,24.543,93.0898
7338,Accesorio,2022-09-20,3.3985,2.1973,38.4807,7.9915,43.5438
5990,Tablet,2021-06-13,10.5626,0.6295,44.549,7.4664,45.9972
1844,Laptop,2022-08-22,14.0472,3.3135,64.2006,45.2004,148.8858
7842,Tablet,2020-12-06,5.828,2.6641,41.3342,13.8388,60.7268
3585,Tablet,2020-11-18,7.371,1.8537,44.8925,13.6018,67.3357
2940,Laptop,2020-10-12,10.3353,4.6056,61.3522,49.3875,153.0232
2768,Laptop,2022-08-28,11.3021,2.3656,55.6739,26.4719,94.9546
5265,Accesorio,2021-08-10,4.5129,3.5735,51.2391,15.7981,68.8688
2308,Laptop,2021-11-03,,,48.524,21.861,86.2119
538,Laptop,2021-01-23,5.8993,2.5866,43.1595,12.4392,57.8441
2853,Smartphone,2020-06-13,10.9097,4.076,58.9373,44.9912,139.6645
2232,Laptop,2022-12-05,7.2376,3.2912,50.6891,24.9201,97.8466
6864,Accesorio,2020-09-30,11.6356,0.8537,49.7858,10.7973,56.0627
5806,Laptop,2021-08-17,13.869,1.0122,54.4833,13.8559,73.9407
6441,Laptop,2021-06-25,14.763,1.1432,50.6941,17.4326,75.9729
7551,Smartphone,2020-03-20,3.118,0.7816,29.0253,3.6391,34.2144
6294,Accesorio,2022-09-25,13.9133,1.3946,55.7934,18.7782,84.135
1558,Accesorio,2021-11-03,9.6796,0.7627,41.5156,6.6779,43.9552
1245,Tablet,2021-09-08,11.96,4.3882,64.4056,51.6658,161.7534
1548,Laptop,2020-12-13,13.5052,4.7969,70.3176,63.1344,193.8828
5225,Accesorio,2022-12-04,9.7318,2.1443,49.8951,21.5686,84.0062
7359,Smartphone,2021-07-14,12.1771,2.5599,56.0533,29.9876,108.0507
4931,Smartphone,2022-07-03,5.9637,4.9758,56.2493,31.0297,107.5501
2725,Tablet,2021-12-17,3.2742,4.3044,44.2953,15.4157,67.2963
2500,Accesorio,2021-03-14,6.0238,4.604,57.8355,28.5143,102.3953
3801,Laptop,2021-09-01,10.2346,0.8234,46.548,7.8944,47.956
4198,Accesorio,2022-07-22,4.6457,1.0892,38.4931,4.2407,32.7211
5936,Smartphone,2021-06-20,,,54.5208,17.0895,79.8957
6987,Tablet,2022-05-09,12.1861,3.9288,70.0507,48.9677,158.4332
8311,Laptop,2022-10-25,14.8653,4.3097,68.8665,66.1944,198.8294
7684,Smartphone,2021-05-28,11.3341,4.416,63.8822,51.5704,159.7493
4401,Smartphone,2021-10-20,12.6941,3.3472,63.4196,42.0023,136.2217
201,Smartphone,2021-02-21,14.1428,1.1319,54.6691,18.2483,81.2932
8682,Accesorio,2022-08-24,4.5257,3.4259,39.3974,16.9117,65.9915
932,Smartphone,2022-11-17,11.728,2.1675,53.2608,27.1052,97.7298
7688,Laptop,2022-04-04,3.2278,0.5894,28.1164,1.3651,27.2641
6837,Laptop,2021-04-01,,,47.3785,20.1731,82.6706
7676,Laptop,2022-08-17,9.1879,3.4206,52.6689,33.194,113.5909
884,Laptop,2021-10-29,11.8519,0.588,52.1358,8.5679,53.7879
3318,Tablet,2020-09-19,7.9693,2.2639,43.8405,16.5953,75.4552
1402,Tablet,2020-09-21,12.2093,4.6708,71.2019,57.1135,177.1024
6537,Accesorio,2020-09-04,9.7567,4.3441,69.4495,41.0223,138.206
1968,Laptop,2022-01-07,3.281,4.9529,50.3789,15.1359,69.5587
6755,Smartphone,2020-07-12,,,51.0968,22.9155,90.4011
7233,Accesorio,2021-03-17,6.4311,4.2768,55.6173,27.177,98.1072
7691,Smartphone,2022-09-01,12.1983,2.5687,58.4665,32.0929,110.2875
958,Smartphone,2020-03-24,9.238,2.0882,50.1292,19.0294,81.5595
