Identificador,TipoCultivo,FechaCosecha,Peso,Desempeno,Humedad,Precio,Target
2920,Vegetal,2021-11-03,9.6022,80.6615,75.6556,37.7436,KO
4191,Legumbre,2022-08-29,3.8844,58.6866,70.895,18.647,KO
1213,Vegetal,2022-09-04,9.9728,82.3409,45.9658,48.227,KO
1258,Cereal,2022-09-02,2.3793,60.8674,64.4866,11.7536,OK
323,Legumbre,2021-01-18,6.749,75.2716,84.4889,24.7991,OK
17,Legumbre,2021-11-27,1.4834,49.2334,54.3702,6.7391,KO
969,Vegetal,2022-05-21,1.5276,64.3326,32.9815,4.0991,KO
3287,Vegetal,2022-09-01,1.4854,43.5282,79.071,5.2293,KO
792,Legumbre,2021-04-22,7.0252,69.9534,84.027,30.3539,OK
749,Fruta,2022-09-30,8.0027,58.1345,38.6088,22.1498,KO
401,Legumbre,2022-09-24,3.3935,64.3524,38.5902,13.8845,OK
4150,Legumbre,2021-05-30,6.1681,72.7741,38.0351,15.7126,OK
1844,Cereal,2022-03-18,4.5359,67.6014,34.9417,15.3643,OK
3198,Fruta,2022-01-15,4.2996,60.9225,72.6612,20.5562,OK
948,Legumbre,2021-04-08,3.4016,61.0166,46.4242,16.5472,OK
3092,Vegetal,2021-05-24,6.7469,76.0889,34.5249,32.0065,OK
3778,Cereal,2021-04-03,8.8964,79.7974,73.6232,35.5022,KO
2394,Cereal,2021-08-24,7.4052,73.8087,58.9856,25.1192,OK
5522,Vegetal,2022-02-20,6.3236,74.5906,74.0364,18.4779,OK
1766,Legumbre,2022-05-22,7.864,70.6855,80.6094,25.444,OK
242,Cereal,2021-05-15,7.8657,113.5065,39.818,17.2993,OK
1042,Vegetal,2022-05-25,3.6167,67.9865,83.3298,12.8999,OK
3031,Cereal,2021-01-05,4.1065,73.8759,87.5428,15.0503,OK
4477,Cereal,2021-06-15,2.137,61.5553,70.2001,7.2737,OK
2022,Cereal,2022-12-16,5.5608,63.3953,56.0232,15.2934,OK
2877,Vegetal,2022-11-24,5.4697,69.7218,79.4932,11.8638,OK
4420,Cereal,2021-08-14,7.1458,74.01,76.5949,21.6321,OK
107,Vegetal,2021-12-18,2.9385,63.9147,46.9675,11.954,OK
4090,Legumbre,2022-09-02,6.3209,69.7268,87.4075,17.0749,OK
1026,Vegetal,2022-04-17,2.0985,57.7069,36.8198,7.1399,KO
765,Fruta,2022-09-29,9.03,85.198,77.9011,18.8118,KO
2551,Legumbre,2022-04-16,8.4935,73.1734,35.761,32.8392,KO
2527,Fruta,2022-01-19,3.6998,64.0965,77.4095,16.4521,OK
3086,Fruta,2021-08-25,9.9186,81.664,34.1236,41.7676,KO
745,Cereal,2022-12-29,1.8785,63.7105,75.7163,6.2757,KO
4361,Vegetal,2022-03-09,3.6875,66.2911,76.4078,16.3732,OK
3706,Cereal,2021-08-18,3.3498,59.3498,56.805,12.5169,KO
723,Legumbre,2021-08-11,9.7335,77.0895,64.3574,26.6444,KO
1747,Legumbre,2022-06-22,2.5436,58.7589,49.2306,9.4481,KO
2919,Legumbre,2022-09-29,9.2013,75.5492,75.094,26.2637,KO
3269,Legumbre,2022-12-26,1.481,58.4357,31.5303,3.0633,KO
105,Vegetal,2021-03-14,6.8647,62.9075,70.5426,16.5943,OK
2189,Vegetal,2021-03-10,6.8156,72.8074,86.6339,28.3647,OK
4476,Cereal,2021-08-02,4.4525,64.3735,76.8137,19.8515,OK
3614,Cereal,2021-05-13,2.9334,60.3444,49.5501,10.2262,OK
4874,Legumbre,2021-08-12,2.836,56.4614,60.7653,6.7795,KO
1680,Vegetal,2021-02-12,2.1109,57.6178,36.6092,10.1625,KO
3557,Fruta,2022-09-07,0.7908,54.6727,64.2108,2.5781,KO
1752,Legumbre,2021-11-30,4.2864,113.5065,75.428,11.2256,OK
3910,Fruta,2021-12-22,9.0288,78.5551,80.5417,20.1901,KO
2808,Cereal,2022-04-04,9.4237,75.1598,57.5311,46.7908,KO
3695,Legumbre,2022-05-01,5.0746,61.94,32.9921,18.9175,OK
3974,Cereal,2021-01-29,3.718,53.6999,44.5469,9.2266,KO
266,Vegetal,2022-03-20,5.7956,72.3822,70.8598,13.61,OK
1050,Fruta,2021-01-05,4.2122,59.7302,54.2996,19.1853,KO
4130,Cereal,2021-04-27,1.1493,47.3845,66.2177,3.733,KO
4554,Fruta,2021-02-16,7.6675,75.7145,77.1163,19.9977,OK
740,Legumbre,2021-12-30,8.944,75.6813,59.6678,43.1545,KO
1427,Cereal,2021-12-01,8.0977,74.8062,34.7642,35.9133,KO
3773,Legumbre,2021-12-31,4.4098,64.7983,51.3176,9.8768,OK
3412,Cereal,2022-06-14,8.9631,82.2822,31.8905,36.0453,KO
326,Vegetal,2021-10-16,,,64.7838,33.7975,OK
1321,Legumbre,2022-05-10,2.0464,52.7777,49.7276,4.7856,KO
4500,Fruta,2021-10-22,9.7168,86.2831,77.7184,25.5525,KO
4194,Fruta,2021-04-01,9.9107,80.9119,77.6911,39.2319,KO
2380,Legumbre,2022-08-14,1.9882,63.5339,69.1888,9.7062,KO
1910,Fruta,2021-09-22,5.1842,64.0344,64.7944,15.5073,OK
1834,Cereal,2021-09-25,5.8233,61.5845,43.4018,25.3839,OK
1437,Vegetal,2022-11-08,5.7792,70.5077,31.226,21.2057,OK
4786,Cereal,2021-10-19,4.5764,57.6568,46.5504,12.1237,KO
3612,Cereal,2022-09-18,3.5518,61.0619,73.4218,11.1238,OK
5229,Fruta,2021-10-13,5.4173,69.3386,75.7111,26.2393,OK
5408,Vegetal,2022-11-25,6.1889,63.711,64.7891,21.6804,OK
2010,Fruta,2022-06-21,4.0661,58.1619,76.5498,15.6416,KO
1210,Fruta,2022-02-23,0.5151,43.9515,35.8648,2.4085,KO
2112,Fruta,2022-10-22,3.8022,66.1663,30.6855,9.5215,OK
853,Fruta,2021-08-08,7.2059,71.0217,84.7349,29.6912,OK
5776,Cereal,2021-03-30,7.3407,76.671,71.9586,33.2541,OK
2836,Cereal,2021-07-02,9.6141,72.6873,81.5965,26.4652,KO
3683,Cereal,2021-04-21,5.7805,71.653,72.1894,24.0464,OK
5603,Cereal,2021-03-18,4.9968,68.0239,82.991,23.2055,OK
1518,Cereal,2022-06-18,0.8004,46.028,48.717,2.7763,KO
4719,Legumbre,2022-11-18,5.8873,71.0452,36.8298,18.5183,OK
3261,Legumbre,2022-11-22,4.534,62.3851,56.2188,13.9879,OK
4837,Vegetal,2021-07-23,3.2785,51.0314,86.9833,9.5234,KO
4953,Fruta,2022-10-19,9.2712,78.5917,77.4441,37.4899,KO
3733,Fruta,2022-10-18,3.3188,61.0237,51.1999,13.9738,OK
434,Legumbre,2021-02-18,8.9205,65.1069,33.4028,38.9129,KO
5570,Cereal,2021-08-11,2.0351,53.2208,36.6595,5.1338,KO
5132,Cereal,2021-12-07,1.4842,63.2064,63.1057,7.0425,KO
2251,Fruta,2021-11-21,8.0304,71.8828,81.2832,39.3349,KO
2450,Fruta,2022-11-05,3.5206,69.8748,43.6971,14.8885,OK
1371,Cereal,2021-09-20,9.5501,81.4817,81.9803,47.0047,KO
4771,Legumbre,2022-01-31,2.8379,66.341,68.4343,12.6239,OK
438,Legumbre,2022-07-11,1.493,50.092,54.5698,6.1275,KO
302,Fruta,2022-12-27,5.3103,64.9587,88.053,22.2725,OK
1347,Cereal,2021-09-15,8.2506,86.7872,89.0205,20.0612,KO
1908,Fruta,2022-09-23,8.0969,86.0701,59.809,24.7571,KO
4522,Cereal,2021-08-31,7.656,72.2798,71.1742,33.0486,OK
4873,Fruta,2022-02-06,4.4702,66.8544,50.3272,14.2501,OK
2216,Vegetal,2022-10-15,9.0174,72.5304,80.3995,26.7858,KO
1281,Vegetal,2022-01-11,4.2234,62.6976,78.17,14.0853,OK
4352,Cereal,2022-03-29,7.2645,72.531,42.8875,19.4114,OK
5935,Cereal,2022-10-21,3.0006,51.945,74.9845,10.4822,KO
3231,Vegetal,2021-11-29,3.3179,70.8504,78.8073,10.3754,OK
1250,Legumbre,2021-05-05,2.7986,61.1941,71.3968,10.751,OK
2511,Legumbre,2022-04-19,1.8386,47.6079,89.3671,6.9765,KO
5682,Legumbre,2021-05-13,5.265,66.7312,36.982,16.005,OK
2989,Cereal,2022-07-30,0.6275,45.2312,34.8086,2.4686,KO
1311,Cereal,2021-06-24,,,52.7242,37.7592,OK
3674,Vegetal,2021-07-22,9.9075,75.0533,79.7996,23.3234,KO
2868,Vegetal,2022-03-19,8.8351,79.8111,87.4535,28.3033,KO
4599,Vegetal,2021-07-09,6.895,63.9948,52.779,19.2499,OK
362,Fruta,2022-03-25,0.7714,47.606,53.8668,3.2003,KO
3847,Legumbre,2022-06-20,3.4561,63.3235,58.294,12.1513,OK
3617,Cereal,2022-01-08,6.5368,64.8789,77.1488,22.7021,OK
4059,Cereal,2022-07-21,8.3774,71.2697,32.4003,24.6543,KO
2522,Vegetal,2021-03-06,1.7601,50.9424,65.2066,8.4674,KO
4529,Legumbre,2022-12-19,5.8376,70.8787,53.6502,27.5092,OK
116,Legumbre,2022-03-28,6.8508,63.5788,43.7602,17.0811,OK
1871,Cereal,2022-11-23,,,83.3339,34.359,OK
2508,Vegetal,2022-05-09,9.4455,77.6927,44.7034,32.5122,KO
3079,Fruta,2022-09-12,6.2354,64.7803,33.7606,29.3564,OK
4164,Legumbre,2022-01-29,2.3275,53.0791,36.0845,8.283,KO
370,Cereal,2022-03-09,7.465,57.3452,58.8173,20.5133,KO
2418,Vegetal,2021-10-18,,,55.6387,11.0293,OK
1975,Vegetal,2022-01-03,6.4073,68.7401,89.8475,25.1801,OK
3941,Fruta,2021-08-26,7.968,82.8923,65.2167,23.6397,OK
5328,Cereal,2022-10-06,9.8153,78.5083,55.6333,43.1061,KO
4389,Cereal,2021-07-21,8.699,73.914,56.2644,27.9601,KO
1675,Fruta,2022-03-17,9.2097,67.9704,63.9652,27.5031,KO
5791,Fruta,2022-06-05,,,68.3007,38.7094,OK
800,Cereal,2021-04-16,7.2004,59.3157,40.6877,17.7322,KO
2664,Cereal,2021-07-10,6.8223,68.2943,72.1487,19.96,OK
4137,Legumbre,2022-01-04,4.8996,66.082,41.8696,10.7577,OK
3265,Legumbre,2022-08-27,,,37.9696,20.7279,OK
175,Legumbre,2021-02-16,3.3342,58.924,87.5793,14.2065,KO
101,Cereal,2021-11-05,8.1154,76.9629,58.4532,35.004,KO
4209,Legumbre,2021-12-22,8.9547,70.1274,52.989,20.452,KO
5892,Fruta,2022-03-23,,,54.8168,8.8961,OK
210,Fruta,2022-01-25,1.1762,62.6483,55.1768,4.9346,KO
2397,Legumbre,2021-04-08,9.1901,72.0568,72.4825,22.3961,KO
50,Vegetal,2022-02-08,2.1067,52.151,82.0196,8.6116,KO
97,Vegetal,2022-08-19,9.01,85.2909,87.0601,32.8391,KO
4669,Vegetal,2022-12-13,7.4027,72.1173,72.389,25.232,OK
1731,Vegetal,2021-09-17,1.5287,60.2092,43.8479,6.2269,KO
2456,Fruta,2022-06-14,9.257,78.1757,49.6259,46.1652,KO
4431,Cereal,2022-09-10,6.0457,66.3033,89.606,24.6619,OK
5777,Legumbre,2021-12-21,2.0281,61.8399,77.3231,8.1071,OK
1194,Legumbre,2022-01-25,7.5894,70.3154,39.7287,36.3733,OK
312,Cereal,2022-05-10,2.6315,62.6955,35.8268,6.3047,OK
3119,Legumbre,2022-08-13,1.2632,48.6681,51.4881,5.6793,KO
737,Legumbre,2022-06-07,1.5748,50.2967,80.3145,3.3463,KO
5567,Fruta,2021-01-19,,,76.2751,20.7403,OK
2207,Cereal,2022-06-05,1.4121,50.2619,65.1177,5.4368,KO
2457,Cereal,2021-11-23,4.0471,60.9737,85.3181,17.4142,OK
525,Vegetal,2022-01-06,5.8868,76.6461,48.7313,12.0747,OK
168,Cereal,2022-11-11,,,60.413,35.4707,OK
3494,Vegetal,2021-03-15,2.6341,63.6775,69.1468,5.8076,OK
2396,Legumbre,2021-12-15,1.9563,53.5282,53.6082,4.9712,KO
3395,Fruta,2022-12-27,5.2078,67.6875,63.8889,23.3375,OK
5284,Legumbre,2021-12-06,,,87.7895,2.7836,OK
2310,Cereal,2022-11-19,6.0814,63.3059,82.2432,22.1553,OK
2880,Legumbre,2021-09-28,2.9628,61.8956,37.5426,12.5139,OK
975,Legumbre,2021-12-08,6.7638,67.7892,53.9075,24.3215,OK
5344,Legumbre,2021-02-11,6.4461,64.8212,38.1811,21.9944,OK
4913,Cereal,2021-06-11,9.3579,77.4885,81.1481,45.9573,KO
566,Vegetal,2021-02-25,,,67.4992,38.427,OK
3223,Vegetal,2021-03-25,5.0578,73.9118,66.5045,21.3721,OK
111,Legumbre,2021-04-10,1.9388,54.1982,74.3615,4.4253,KO
4816,Legumbre,2022-10-15,3.0027,113.5065,88.7814,11.0255,OK
5480,Vegetal,2021-04-25,2.0869,60.9634,85.788,8.5806,OK
5255,Vegetal,2021-02-11,8.0164,79.1457,84.9085,36.0236,KO
158,Vegetal,2022-08-28,,,68.8829,8.9179,OK
522,Cereal,2022-05-29,4.3701,60.703,51.6604,9.0338,OK
2727,Legumbre,2022-07-08,5.9999,66.2027,34.7843,16.8022,OK
894,Fruta,2022-12-18,,,77.2727,28.9285,OK
2335,Fruta,2022-04-09,2.6441,64.5549,40.1252,11.8286,OK
4121,Legumbre,2022-11-20,7.8354,76.0897,43.1855,17.0049,OK
3291,Cereal,2022-01-13,1.8411,62.0556,47.7169,3.8588,KO
4782,Vegetal,2021-12-20,1.9379,65.0473,82.4633,6.6746,KO
1549,Fruta,2021-03-19,5.0669,72.2028,67.3393,11.468,OK
5611,Vegetal,2022-12-24,7.6284,77.369,38.3988,25.6532,OK
130,Legumbre,2022-03-25,1.4296,53.0398,50.151,6.6465,KO
1679,Vegetal,2021-04-21,9.1918,77.9232,77.8624,24.9582,KO
5947,Legumbre,2022-09-27,5.3499,71.6849,78.4491,20.6188,OK
4654,Fruta,2022-04-04,9.5642,89.4085,81.9899,32.023,KO
4151,Legumbre,2021-09-03,7.3824,73.4685,78.6113,23.882,OK
5765,Legumbre,2022-07-29,6.6513,73.7028,50.0704,20.8599,OK
5878,Legumbre,2022-10-30,3.069,59.4797,68.9452,6.8841,KO
3578,Cereal,2021-04-26,8.1604,84.9132,33.0287,17.5702,KO
5092,Vegetal,2021-05-24,4.3399,63.2251,59.2626,9.5882,OK
4728,Cereal,2021-07-16,3.5735,66.5838,50.0645,16.0949,OK
849,Cereal,2022-05-01,4.9803,67.0409,47.6707,21.7893,OK
5151,Fruta,2022-01-25,9.2034,72.3934,35.1489,20.5041,KO
768,Legumbre,2021-04-11,7.0391,75.9596,59.4177,28.7835,OK
5592,Cereal,2021-04-04,9.7808,74.3342,73.7133,29.807,KO
2337,Cereal,2021-06-21,6.2391,59.4103,82.5827,26.0359,KO
1238,Legumbre,2021-07-13,3.6712,58.9117,76.9741,9.2351,KO
184,Cereal,2021-06-10,8.4927,77.4746,59.4276,21.9553,KO
1312,Vegetal,2021-03-10,8.8987,73.4118,35.1464,40.7192,KO
1823,Legumbre,2022-07-05,1.5722,53.1642,36.6366,5.0468,KO
4008,Vegetal,2021-04-08,2.9324,113.5065,76.7354,10.4881,OK
4962,Fruta,2021-03-24,4.3288,60.0853,32.2354,19.1245,OK
3704,Vegetal,2021-09-15,8.0256,77.1248,46.5354,27.6629,KO
5915,Vegetal,2021-09-26,5.0531,52.3171,69.9435,24.3615,KO
864,Vegetal,2021-09-04,4.2689,63.4562,67.6723,18.7247,OK
5770,Vegetal,2021-11-16,8.8922,76.1814,60.1514,42.0711,KO
3549,Fruta,2022-03-15,2.1596,53.9504,78.9728,5.228,KO
850,Vegetal,2021-07-10,7.2544,72.6833,42.5038,32.2677,OK
4868,Cereal,2022-08-08,4.3133,68.6531,49.7729,10.92,OK
4380,Cereal,2022-12-02,3.4028,68.3095,61.7804,15.3131,OK
3844,Vegetal,2022-05-26,1.6622,54.7136,55.871,6.9889,KO
5651,Vegetal,2021-11-03,5.1732,61.7909,61.1077,15.5738,OK
5197,Vegetal,2022-08-27,6.0621,65.8747,32.853,26.2242,OK
5073,Fruta,2022-05-29,8.4587,78.4344,42.2344,19.446,KO
4229,Legumbre,2021-07-14,7.0002,82.5956,36.6914,19.219,OK
3877,Fruta,2021-06-25,0.6261,44.6861,38.7232,1.7285,KO
2640,Legumbre,2022-08-06,1.6243,49.1339,30.1162,7.6627,KO
3528,Vegetal,2021-02-25,7.4479,81.1805,76.5022,18.9068,OK
2699,Legumbre,2021-06-15,2.5923,63.0731,46.0534,9.217,OK
5305,Legumbre,2022-01-06,7.2014,68.3125,49.1036,20.284,OK
3071,Fruta,2021-02-09,8.2249,74.8084,45.8444,39.9733,KO
4668,Vegetal,2021-07-02,7.9634,76.2066,65.4231,24.6136,OK
593,Fruta,2022-02-04,9.5691,80.5837,46.9073,39.9533,KO
3903,Legumbre,2022-06-18,0.9374,50.2435,56.5799,3.0116,KO
1641,Legumbre,2022-12-31,3.8469,65.8735,43.4286,16.08,OK
3199,Fruta,2022-04-19,4.5216,64.73,55.5995,18.0403,OK
4824,Vegetal,2022-08-02,8.1623,84.3792,40.9914,38.1386,KO
11,Cereal,2022-04-09,9.4638,80.3607,61.6623,32.8985,KO
8,Fruta,2021-06-28,4.6668,65.114,54.259,10.2219,OK
4050,Legumbre,2021-02-27,3.7918,61.9032,64.7445,18.1923,OK
5976,Fruta,2021-12-15,3.2438,60.612,88.2327,8.5392,OK
2979,Fruta,2022-08-09,4.9586,66.7302,79.3844,23.627,OK
5866,Cereal,2021-02-23,2.7144,54.2623,43.0934,10.8402,KO
406,Legumbre,2022-03-01,8.486,73.8369,41.4165,23.4851,KO
978,Legumbre,2021-07-11,,,84.1278,5.0575,OK
5817,Vegetal,2021-12-21,7.7537,64.1468,75.3202,16.8299,OK
2348,Vegetal,2021-07-28,4.4557,66.9558,71.4017,17.9191,OK
5742,Cereal,2022-10-15,7.2016,65.7918,65.5343,18.9782,OK
5701,Legumbre,2022-08-02,3.7161,70.2647,38.1773,9.4993,OK
4928,Legumbre,2022-10-05,6.003,68.4177,88.5535,17.7049,OK
3823,Legumbre,2021-01-02,6.8256,69.0151,75.374,30.0924,OK
4679,Legumbre,2021-08-23,3.1122,53.806,85.6789,11.0849,KO
2247,Fruta,2021-04-09,6.2125,72.9639,47.373,28.6746,OK
4737,Cereal,2022-06-06,7.8308,66.6337,33.5773,30.9936,OK
3821,Cereal,2021-03-23,9.0063,76.5829,63.6182,42.1354,KO
3218,Legumbre,2022-12-09,4.1365,62.2973,38.0737,18.4878,OK
5390,Vegetal,2022-10-01,6.8364,69.1486,45.8871,14.2197,OK
3537,Fruta,2022-02-24,5.0799,66.9796,63.5664,10.3285,OK
677,Legumbre,2022-02-08,,,64.5833,2.4599,OK
1855,Legumbre,2022-08-30,9.9731,73.0885,71.5269,46.5439,KO
2539,Legumbre,2022-05-14,6.4086,56.1102,77.6641,23.2896,KO
5836,Fruta,2022-12-20,2.9737,54.8489,52.697,9.4997,KO
472,Legumbre,2021-07-20,2.1588,57.2907,62.0374,10.035,KO
2177,Legumbre,2022-05-31,5.8592,65.4364,48.9877,17.725,OK
3670,Legumbre,2022-01-07,8.537,76.7965,88.7679,42.4977,KO
898,Legumbre,2021-02-27,4.3876,54.6789,63.1015,14.4965,KO
3610,Legumbre,2021-02-21,5.6241,61.5757,54.1271,25.3957,OK
5747,Fruta,2022-09-14,8.3802,81.2407,66.8132,19.0008,KO
5075,Fruta,2022-11-07,0.8884,46.9595,63.622,3.285,KO
4912,Fruta,2022-11-21,7.8461,71.4376,47.8759,24.5897,OK
4213,Cereal,2021-01-29,1.4452,52.5202,46.4799,6.7845,KO
1713,Fruta,2021-12-25,0.7646,51.8261,78.7264,2.8692,KO
2720,Vegetal,2022-12-16,9.123,78.7993,84.5484,31.5761,KO
3384,Cereal,2022-09-03,0.5937,57.0171,49.6799,2.5247,KO
5179,Legumbre,2021-11-10,7.0861,64.2035,78.8702,17.8835,OK
512,Vegetal,2022-01-21,3.6035,65.5032,84.3868,14.3202,OK
59,Cereal,2022-10-31,9.8387,80.3019,78.9973,26.4524,KO
4256,Legumbre,2021-09-05,6.6571,72.3672,77.3756,23.9653,OK
5072,Fruta,2021-06-02,2.0924,60.056,83.9015,8.6942,OK
5019,Legumbre,2021-01-16,6.9398,60.012,81.6963,28.4437,OK
1877,Fruta,2022-11-14,7.3252,68.7595,47.549,21.2283,OK
1935,Cereal,2021-05-27,2.8967,49.3809,38.4712,13.369,KO
5275,Legumbre,2022-01-11,6.9387,75.1694,45.1589,29.9225,OK
79,Cereal,2021-07-27,7.7542,82.8057,67.5097,36.811,OK
3479,Legumbre,2022-12-11,5.8911,68.3598,86.0864,28.9271,OK
1182,Legumbre,2022-02-19,,,38.2893,17.0548,OK
2889,Fruta,2022-09-10,1.0994,50.1259,72.7161,5.1638,KO
5762,Legumbre,2022-08-29,9.7772,81.2765,72.5024,20.8818,KO
5968,Vegetal,2021-03-23,9.1256,67.6162,33.4252,37.8004,KO
403,Cereal,2022-05-20,7.972,65.9622,49.4397,28.3679,OK
1864,Vegetal,2021-09-03,7.5474,77.3377,46.4,32.3224,OK
1633,Legumbre,2021-09-04,6.7264,65.8735,38.7968,21.064,OK
4409,Legumbre,2022-02-08,1.7208,63.2652,64.5046,7.1395,KO
3459,Cereal,2021-05-13,3.1092,59.2263,48.894,6.4221,KO
5256,Cereal,2021-10-12,5.8177,65.2502,60.4392,27.4012,OK
913,Fruta,2021-09-29,7.9716,70.5627,46.0084,31.1463,OK
2678,Vegetal,2022-05-13,,,53.6514,11.2804,OK
2131,Fruta,2021-08-13,3.7363,65.6428,88.8288,7.7548,OK
5650,Legumbre,2022-07-15,5.6073,66.2973,83.3308,12.5042,OK
3229,Cereal,2021-05-25,8.5458,81.9187,33.5834,25.4716,KO
5044,Legumbre,2022-09-17,6.9032,66.3534,71.7363,21.4052,OK
3204,Fruta,2022-06-23,4.2943,60.8482,47.4931,19.1831,OK
411,Cereal,2022-12-19,,,48.0972,21.6562,OK
3749,Fruta,2022-04-01,9.1058,81.3049,89.3128,23.9021,KO
1907,Fruta,2021-06-28,9.34,77.8664,74.2453,19.3085,KO
2820,Vegetal,2021-10-09,9.6775,78.2984,45.4359,41.952,KO
2269,Fruta,2022-06-03,3.1828,55.0953,34.9136,14.1315,KO
2819,Cereal,2022-09-02,4.5786,72.0391,52.18,10.65,OK
5518,Vegetal,2022-08-12,1.0356,46.3748,69.9229,3.7611,KO
2817,Legumbre,2022-08-13,4.4599,65.7143,85.3046,22.0211,OK
3058,Legumbre,2021-11-25,8.998,73.5305,41.0693,24.522,KO
2184,Vegetal,2022-01-23,7.2932,64.5176,50.3138,32.5119,OK
5758,Legumbre,2021-12-30,7.396,75.3214,65.5236,15.2002,OK
5539,Fruta,2022-01-17,9.5333,83.442,48.0558,24.2215,KO
4537,Legumbre,2022-04-25,3.1073,68.8128,80.9626,10.4555,OK
799,Fruta,2022-03-15,3.2777,65.7247,70.3907,6.6005,OK
324,Vegetal,2022-08-29,,,64.5233,41.4357,OK
5460,Fruta,2022-03-08,,,69.6936,8.505,OK
3376,Fruta,2021-01-14,3.0797,62.9903,85.761,7.861,OK
1363,Fruta,2021-03-17,9.6714,76.5109,56.1783,20.9599,KO
4759,Vegetal,2022-02-19,7.1972,69.1083,32.4636,34.7669,OK
4725,Cereal,2021-07-24,1.4728,65.3524,56.2565,3.2233,KO
4350,Fruta,2022-05-31,8.7193,74.6175,53.7819,30.3488,KO
402,Legumbre,2021-04-03,,,59.4997,4.5981,OK
42,Cereal,2022-01-26,7.9058,74.1309,59.0908,23.2176,OK
5565,Legumbre,2021-10-08,4.6169,60.4526,89.1622,17.0097,OK
4784,Legumbre,2022-03-15,5.9422,74.6227,82.5204,13.1951,OK
5481,Fruta,2022-11-02,2.6165,59.311,49.1278,10.5901,KO
201,Cereal,2022-11-17,3.3632,65.8227,84.5738,13.0549,OK
5594,Vegetal,2021-08-01,6.2063,67.1041,86.9417,23.2611,OK
1968,Legumbre,2021-11-02,5.5816,68.0616,77.3739,27.4957,OK
1059,Vegetal,2022-11-24,1.7352,52.7119,48.624,8.0309,KO
4495,Legumbre,2022-04-05,8.9086,78.8881,45.1018,37.5185,KO
87,Vegetal,2021-10-22,8.6378,73.9661,54.679,34.9994,KO
1693,Legumbre,2021-07-26,2.1592,61.0039,34.8552,10.2989,OK
219,Legumbre,2022-03-21,2.3333,55.6755,30.5207,11.4559,KO
