Identificador,TipoComponente,FechaProduccion,Presion,Temperatura,Desempeno,Peso,Target
4343,Avionica,2021-01-19,3.8563,-34.2656,50.3455,886.1426,KO
4613,Alas,2020-01-05,2.4996,117.9478,41.2858,248.9822,KO
4465,,2021-10-19,3.8091,128.9813,72.4266,204.1166,OK
3574,Alas,2021-06-14,3.6731,-4.2139,62.9123,576.0915,KO
557,Fuselaje,2020-01-29,1.4766,72.7331,50.624,326.529,Nuevo_2
3775,Alas,2022-06-11,1.6365,,61.1723,224.6677,OK
5015,Avionica,2022-01-04,1.3698,66.6105,38.4373,162.8988,KO
7251,Alas,2020-03-17,3.527,-10.9627,60.2911,791.7673,OK
357,Motor,2019-05-17,2.9692,-21.1489,54.7892,704.2505,Nuevo_2
7130,Motor,2021-01-30,4.2185,103.1246,51.5906,490.5673,Nuevo_1
3828,Fuselaje,2022-01-30,3.2238,35.6433,65.8862,992.952,KO
802,Fuselaje,2021-08-18,4.7272,132.014,78.5387,378.4425,OK
2589,Motor,2021-12-08,2.1079,-21.4683,55.2729,495.926,OK
5096,Fuselaje,2019-04-12,4.1763,36.9384,70.6241,546.0399,OK
375,Motor,2020-01-02,2.9584,-33.058,54.6466,698.7026,KO
2992,Alas,2018-04-12,,,76.2337,335.0464,KO
6590,Alas,2018-02-12,,,73.8976,659.5568,Nuevo_2
2560,Motor,2019-09-08,1.7583,-2.0869,53.9139,644.5178,OK
2572,Avionica,2022-11-28,2.3947,,51.4888,773.2468,KO
4600,Nuevo_2,2021-08-14,1.897,24.9876,48.5652,140.9429,KO
5133,Avionica,2020-11-10,4.88,-12.7117,82.8869,805.5201,Nuevo_4
4970,Fuselaje,2020-11-03,2.8041,107.628,59.5299,847.2855,KO
7440,Avionica,2018-03-26,1.9456,29.9596,58.6173,626.5661,Nuevo_5
7394,Avionica,2018-01-12,1.7095,116.582,47.2685,339.6041,Nuevo_1
5132,Motor,2021-05-12,2.2777,137.1223,56.9439,620.6588,Nuevo_1
6258,Avionica,2020-08-06,4.6749,36.1446,78.3679,735.3228,Nuevo_3
3769,Motor,2021-09-06,2.6602,145.2066,56.7809,179.1193,KO
6278,Motor,2020-09-08,3.7922,,84.6661,997.9722,Nuevo_4
6630,Nuevo_3,2021-11-02,1.3777,60.208,40.993,580.6818,OK
6766,Nuevo_5,2021-09-24,2.2321,-45.5284,62.851,796.3225,Nuevo_3
1614,Motor,2018-12-03,1.763,106.7312,52.2763,453.4011,KO
5838,Motor,2020-01-20,1.8144,77.9875,20.7346,111.8007,OK
1208,Nuevo_5,2019-08-20,7.894411495935125,-0.7381,52.9969,171.0268,KO
5536,Motor,2020-08-21,1.8129,-33.119,67.3877,538.5315,OK
2975,Motor,2018-01-14,3.3261,-39.8441,36.1649,573.6322,OK
3156,Motor,2022-12-23,3.7394,139.0035,66.9943,656.0919,OK
643,Fuselaje,2018-10-28,2.7893,,53.5594,923.4176,KO
6220,Alas,2019-07-28,3.2734,1.8719,54.6881,937.0812,KO
263,Fuselaje,2019-01-06,4.6828,122.7558,68.6118,815.6733,KO
6635,Motor,2020-09-13,2.1472,144.5443,65.4295,187.211,KO
5792,Alas,2022-07-19,3.0311,145.9505,,973.021,Nuevo_3
2440,Avionica,2018-01-13,1.9044,19.0326,20.5594,365.5037,Nuevo_5
4593,Motor,2019-02-18,2.5022,17.9527,,886.7044,OK
1062,Motor,2020-12-21,1.1623,39.367,43.8142,366.0367,OK
1707,Avionica,2018-09-11,1.8992,4.9435,32.9742,116.8269,Nuevo_3
634,Avionica,2020-03-03,2.2573,-26.5557,44.7752,934.0811,OK
5412,Fuselaje,2019-05-28,1.3596,-32.2467,62.4269,482.7474,KO
5914,Fuselaje,2021-07-07,2.9291,75.9667,52.8863,329.739,KO
6343,Motor,2022-07-31,3.3202,-16.3195,53.1432,603.4961,OK
5668,Nuevo_3,2018-06-22,4.7723,131.4945,83.4434,335.9494,Nuevo_1
1452,Nuevo_3,2019-07-16,2.5587,40.4391,65.2371,295.7625,Nuevo_1
5721,Avionica,2022-04-18,2.8516,105.2883,71.0041,728.8923,Nuevo_3
2803,Nuevo_4,2019-09-16,4.6737,17.4196,80.1895,170.4366,KO
3834,Avionica,2019-03-28,3.0354,20.8714,68.0697,105.9733,OK
3784,Motor,2021-09-10,1.84,49.7332,37.7085,400.8564,OK
2890,Fuselaje,2018-11-30,3.8414,123.3275,67.2337,412.547,KO
3463,Fuselaje,2022-04-28,1.8901,106.7168,64.4126,385.9048,KO
2562,Fuselaje,2020-10-02,2.8592,-5.8612,63.8073,897.0035,KO
2375,Motor,2022-10-07,4.8082,-1.0424,80.7097,625.0475,Nuevo_3
3168,Motor,2019-06-15,3.8801,,59.311,569.575,OK
1021,Motor,2020-12-20,4.3181,43.1352,73.9208,940.4131,OK
5963,Avionica,2021-03-31,4.1872,-4.3218,60.5872,454.4917,OK
1430,Fuselaje,2022-05-19,,,53.7528,896.8683,Nuevo_5
2271,Nuevo_5,2018-11-19,4.5467,-18.4998,87.4471,461.7102,Nuevo_1
4161,Fuselaje,2022-09-05,3.2938,-28.9282,70.4491,301.9694,KO
7040,Motor,2020-09-24,4.0148,142.1128,68.0603,150.4319,Nuevo_4
3113,Nuevo_1,2019-01-10,2.2606,-2.1296,51.3644,286.4597,Nuevo_4
213,,2019-04-23,2.9588,,,978.2116,KO
1189,Avionica,2022-11-23,4.6271,147.1704,81.735,982.7265,KO
1549,Motor,2019-11-03,2.4601,,48.0648,720.0814,Nuevo_1
2706,Avionica,2019-10-14,3.4641,132.4572,,286.3767,KO
5631,Avionica,2022-12-07,2.3377,,33.9986,422.0858,Nuevo_1
5125,Fuselaje,2021-05-03,4.3444,125.5176,,870.612,OK
2945,Avionica,2018-06-16,4.9293,,93.1499,394.0496,KO
4681,Fuselaje,2018-03-03,3.9538,-39.0324,,948.9874,OK
4083,Fuselaje,2022-08-23,2.9943,56.471,63.1779,495.1012,OK
1293,Alas,2020-06-03,2.4735,73.7545,61.5184,312.9307,Nuevo_5
3056,Avionica,2021-01-18,2.0651,124.2033,49.8051,547.3358,OK
2418,Fuselaje,2018-06-26,3.0191,76.8828,40.4851,355.8318,KO
2333,Alas,2019-01-04,1.4125,7.2804,54.4829,720.5671,Nuevo_3
1545,Motor,2020-11-13,2.9978,,49.8039,612.6785,Nuevo_1
4103,Alas,2021-12-17,3.5603,27.3544,68.3633,953.4856,KO
1006,Fuselaje,2022-06-16,3.9261,-0.5337,64.9303,695.4937,OK
3303,Alas,2019-10-10,1.723,-17.4899,53.1346,473.7416,OK
259,Motor,2019-06-07,,,73.9627,945.6492,Nuevo_1
384,Alas,2019-11-11,1.8341,31.8818,59.4505,869.8869,Nuevo_4
5147,Alas,2020-11-25,1.1163,-5.3686,,758.8492,OK
6555,Nuevo_4,2019-09-25,4.8176,-25.1461,89.134,529.3356,Nuevo_3
6419,Avionica,2019-03-22,2.4401,111.322,63.272,823.8345,Nuevo_3
466,Motor,2021-01-16,4.9668,120.0809,75.6639,647.8783,KO
512,Motor,2018-05-26,1.0981,29.4566,52.4194,961.1532,OK
1535,Avionica,2022-04-17,3.7883,,65.1476,806.9372,KO
1424,,2022-01-29,4.0779,107.2676,65.8247,761.5339,Nuevo_4
1558,Nuevo_3,2022-06-16,4.6855,26.0249,88.5839,130.2282,Nuevo_2
6685,Alas,2021-03-20,3.9445,62.9047,77.0441,332.6361,Nuevo_1
6750,Avionica,2018-09-28,3.5241,76.8122,54.4546,222.4953,OK
251,Fuselaje,2018-10-02,1.8766,110.1844,49.9037,239.2775,Nuevo_4
5360,Avionica,2019-09-03,4.8337,36.4303,78.6402,896.8955,Nuevo_1
6224,Motor,2018-07-01,3.1891,7.408,,392.8068,Nuevo_1
6610,Nuevo_4,2020-10-23,3.2074,38.091,59.0747,600.9546,Nuevo_4
4639,Nuevo_5,2020-03-10,3.2833,-49.4641,58.5796,720.3944,KO
3253,Alas,2019-07-17,3.05,118.8522,55.8947,125.901,OK
2510,Nuevo_4,2022-03-05,2.6184,13.9635,49.1296,205.7409,OK
2895,Fuselaje,2019-03-01,2.3786,-6.4604,56.6265,920.1498,Nuevo_4
3880,Avionica,2022-10-19,1.2419,,53.729,150.6878,OK
6670,Nuevo_2,2020-07-17,4.0817,-42.0438,72.5421,524.4104,Nuevo_3
5855,Alas,2019-03-11,2.3618,96.186,51.2166,193.1083,KO
539,Avionica,2021-06-09,4.738,25.4692,75.0991,599.1109,Nuevo_2
415,Motor,2019-12-16,4.5152,1.5158,57.445,544.7019,KO
1848,Nuevo_3,2022-03-08,2.9268,-49.5154,62.1609,951.5311,OK
1933,Alas,2022-10-02,4.5315,144.2729,74.329,969.6108,KO
6354,Nuevo_1,2020-07-04,4.5176,132.4885,82.1772,404.5108,OK
6921,Nuevo_2,2022-03-20,2.3175,135.501,41.1014,617.5759,Nuevo_4
2776,,2022-01-25,2.099,-46.0218,60.3721,279.2723,Nuevo_2
5350,Alas,2022-07-20,4.9402,37.5693,103.4106,413.662,KO
237,Nuevo_3,2019-11-02,3.9907,111.2355,47.5023,565.6493,KO
4285,Fuselaje,2022-09-03,2.3811,87.6389,48.7509,519.1797,OK
831,Nuevo_4,2019-02-18,2.3544,,44.813,918.2757,KO
137,Nuevo_1,2021-04-30,4.3379,66.94,80.3979,316.791,OK
703,Motor,2022-10-25,1.5746,57.7728,,685.1012,OK
1270,Alas,2019-10-27,3.148,-49.3002,69.1445,716.1539,OK
4870,Avionica,2021-09-27,1.304,-35.2571,40.0303,107.247,KO
4164,Nuevo_3,2018-10-31,1.2553,-18.9578,40.1657,490.4399,KO
2269,Avionica,2022-08-16,2.9169,65.1998,55.4636,186.6648,KO
6639,Alas,2018-03-02,2.9663,75.2344,52.551,968.4502,Nuevo_1
1844,Fuselaje,2018-07-22,2.432,-7.2194,59.3553,753.215,OK
5516,Fuselaje,2021-05-31,1.8182,118.0028,49.1931,528.2389,OK
4497,Nuevo_3,2021-10-23,1.6951,96.5833,37.6272,472.1601,KO
1326,Nuevo_2,2019-07-09,2.5584,30.0063,46.3844,675.0146,Nuevo_2
5733,Nuevo_2,2021-06-22,1.0794,138.507,56.8818,691.8547,KO
1851,Motor,2019-08-04,1.764,119.4219,41.8136,845.9993,KO
2924,Nuevo_2,2022-05-17,4.2749,11.4152,50.5917,803.868,KO
6116,Nuevo_5,2019-06-01,3.9506,,79.1125,374.6272,KO
110,Motor,2019-04-12,3.9229,-5.9192,71.1918,716.8922,OK
4186,,2021-08-24,3.0432,-38.3947,41.2763,811.9483,OK
3000,Fuselaje,2021-10-19,3.3737,90.3193,56.096,570.5458,OK
4522,Motor,2019-03-27,3.8086,-37.0566,69.3204,177.0573,Nuevo_5
6593,Alas,2020-08-04,1.4739,112.9901,45.131,415.0743,Nuevo_3
4307,Alas,2019-09-10,3.3147,,69.7395,809.0688,OK
373,,2020-04-16,1.2771,47.4913,52.3033,528.5366,KO
2512,Nuevo_3,2018-06-14,3.4071,84.9513,45.9144,743.4704,OK
5893,Alas,2022-07-27,4.4755,73.0552,92.1185,127.518,OK
668,Alas,2019-03-02,3.0217,126.9217,64.8737,439.3381,KO
2936,Motor,2022-11-26,3.3658,78.3988,67.5737,548.317,KO
6435,Avionica,2022-04-09,3.9425,133.0125,68.3984,733.4704,Nuevo_3
3386,Motor,2019-04-12,3.1768,-31.6186,64.7385,932.1759,Nuevo_1
5477,,2022-04-13,3.3679,110.7265,71.9217,316.3507,OK
194,Nuevo_1,2020-04-25,3.1062,,59.0769,428.0983,OK
3431,Motor,2022-08-04,1.9293,-8.9752,38.8169,836.1206,KO
4198,Avionica,2019-01-16,3.5769,-16.5839,66.9737,413.5116,OK
2505,,2020-10-08,1.4814,39.8687,48.6458,154.3235,KO
7113,Avionica,2022-05-02,1.1645,,52.0249,276.4533,OK
3351,Alas,2021-09-14,1.813,-27.3402,48.2363,584.1287,OK
5013,Avionica,2018-02-16,4.6721,-38.8671,85.4007,969.6013,OK
5116,,2021-04-29,1.5875,108.3654,56.3721,813.8919,KO
3555,Avionica,2020-07-04,1.5187,56.3849,48.7718,754.4637,KO
1727,Fuselaje,2018-12-24,1.452,57.5634,57.9496,676.628,OK
2516,Alas,2021-11-08,2.3322,113.5709,62.7369,212.7765,KO
5781,Avionica,2019-01-06,2.1308,71.1554,50.3517,175.0325,OK
6448,Avionica,2020-07-16,4.6812,66.5758,67.9358,644.1282,OK
647,Nuevo_4,2018-04-06,3.5021,,,347.7372,KO
1670,Alas,2019-01-01,4.4279,-0.6889,90.2812,150.2194,Nuevo_3
7048,Fuselaje,2022-03-15,2.7576,,,424.4322,Nuevo_4
1526,Avionica,2021-06-13,3.6317,78.4579,61.7299,165.3707,Nuevo_1
2265,,2021-12-08,4.2862,132.1271,79.8643,703.3264,KO
6075,Nuevo_1,2022-09-28,3.6322,114.9469,59.7721,615.7696,OK
885,Nuevo_3,2021-07-14,2.0171,14.1692,35.4443,872.5366,OK
4504,Fuselaje,2021-11-28,3.3749,136.9661,61.4464,202.5291,Nuevo_2
5139,Fuselaje,2020-12-27,3.2775,-10.7812,64.3806,864.0823,KO
1173,Avionica,2019-11-25,4.9351,-11.8169,61.1446,570.613,Nuevo_4
510,Nuevo_1,2022-01-23,2.1484,110.8662,58.1061,321.1336,KO
1235,Alas,2019-10-16,2.9557,-25.9191,73.158,855.4313,Nuevo_5
2061,Alas,2019-04-25,2.7521,-16.4833,70.9696,386.9718,Nuevo_2
4074,Avionica,2021-11-19,4.1695,-10.5417,56.8321,872.5344,OK
6700,Alas,2022-01-19,1.8758,47.6393,44.1251,268.4874,OK
7097,Motor,2019-08-18,3.4464,-25.5085,82.3287,726.7639,Nuevo_3
1740,Nuevo_3,2021-09-02,4.5652,77.7642,91.2531,704.0785,Nuevo_1
2763,Motor,2020-07-01,2.2309,-5.5741,53.4548,277.9165,KO
6315,Motor,2019-03-05,3.0551,,58.6498,580.0533,KO
5287,Alas,2018-01-20,1.8059,98.1661,46.8864,758.1854,Nuevo_1
4801,Fuselaje,2018-03-07,2.3956,79.8242,58.4309,285.9762,KO
3654,Fuselaje,2022-08-09,1.5234,65.9836,43.485,866.9109,KO
2598,Fuselaje,2018-05-22,2.9677,,62.7732,187.3041,KO
4309,Avionica,2022-06-11,1.2197,-2.9182,67.7242,247.0703,Nuevo_2
2956,Avionica,2018-06-24,3.725,-21.4303,71.6188,600.4458,KO
4846,,2022-02-08,1.2285,-42.4601,44.1834,750.5479,KO
3229,Alas,2020-10-22,2.7836,47.3171,67.4928,479.833,Nuevo_2
4978,Alas,2018-03-29,,,62.9137,386.2817,Nuevo_3
2563,Fuselaje,2022-01-11,,,65.2054,207.1417,OK
1757,Fuselaje,2021-03-10,2.3338,,58.0974,208.7552,OK
302,Nuevo_5,2021-01-12,4.0165,-47.8698,79.1389,566.2717,Nuevo_1
7128,Alas,2019-06-25,,,57.6761,717.1638,OK
4455,Nuevo_1,2022-12-26,3.3998,-28.5841,79.2392,416.4694,OK
317,Avionica,2019-02-09,4.1732,103.6508,72.1165,355.9979,OK
6449,Motor,2018-11-29,1.8116,108.9772,51.9098,326.4928,Nuevo_3
5340,Avionica,2022-10-25,2.2953,,23.5127,674.5775,Nuevo_1
310,Avionica,2020-12-16,4.5885,-47.2841,71.5944,892.467,KO
7191,Fuselaje,2019-09-09,4.7599,76.1657,90.7396,677.3978,OK
4238,Avionica,2021-03-07,1.2592,60.2862,31.1494,575.0262,KO
1191,Motor,2018-08-01,2.003,116.1474,76.3172,580.136,KO
1039,Nuevo_1,2019-03-09,1.2317,34.7726,53.0431,499.4354,OK
3572,Motor,2018-10-10,3.328,-13.4142,53.9099,148.5926,KO
4602,Motor,2018-08-30,4.3347,132.1512,,751.4085,KO
1664,Fuselaje,2018-09-24,4.2888,61.0468,75.449,343.7221,OK
3619,Motor,2020-06-22,3.1246,108.6721,,559.1289,Nuevo_3
3764,Nuevo_3,2022-11-16,3.6299,-17.8303,77.5298,726.9056,KO
756,Alas,2020-09-28,1.9437,24.1507,43.1741,105.7182,KO
957,Fuselaje,2018-08-25,3.9823,43.194,71.9816,544.4475,OK
4453,Nuevo_2,2019-12-16,1.4242,108.9777,38.231,182.041,OK
920,Alas,2020-12-31,2.5238,4.6402,56.7142,425.6375,Nuevo_5
25,Nuevo_5,2018-07-16,2.9898,-40.1188,57.5025,324.9975,KO
4754,Nuevo_5,2020-03-15,4.5735,66.4588,68.3185,208.2731,KO
4193,Motor,2021-03-25,2.6405,,43.5793,877.0059,Nuevo_4
2175,Fuselaje,2021-02-04,1.1888,,45.0437,248.4017,Nuevo_1
1923,Nuevo_1,2018-10-17,3.9451,133.0428,41.8217,428.2735,KO
5177,Avionica,2020-04-21,1.9701,-39.955,28.8858,546.4553,KO
1161,Nuevo_3,2019-01-20,4.7028,62.3131,84.4713,340.5436,KO
2162,Fuselaje,2020-04-12,3.0916,33.8407,57.8597,520.7275,Nuevo_4
955,Avionica,2022-11-09,1.9944,-34.2509,58.2277,227.594,Nuevo_3
6162,Alas,2020-11-21,4.6759,112.413,82.0608,200.9411,OK
1684,Nuevo_5,2018-10-14,2.812,109.3691,62.7053,295.1237,Nuevo_4
5641,Alas,2019-03-09,,,38.9823,112.4519,KO
7467,Alas,2022-01-21,1.4432,12.9925,42.6048,652.1383,OK
7192,Fuselaje,2018-01-31,3.0347,42.18107809637934,60.2991,251.8233,OK
4670,Alas,2020-12-28,3.0133,85.9695,71.8035,429.3355,Nuevo_3
6913,Fuselaje,2021-09-16,3.7937,,57.259,675.5306,Nuevo_2
921,Motor,2021-01-04,4.4564,81.1529,76.9013,727.5588,Nuevo_2
1117,Fuselaje,2021-07-18,3.5255,42.3688,60.5653,970.511,KO
5731,Avionica,2018-04-01,,,60.9785,939.8927,OK
7244,Motor,2019-03-06,,,69.7273,466.6131,OK
3208,Motor,2019-02-13,4.6768,13.7738,100.1482,131.1877,KO
5591,Nuevo_5,2022-05-08,3.3807,-23.7968,66.8499,252.312,OK
1126,Fuselaje,2018-06-25,1.1853,-17.477,33.2788,921.1785,KO
5606,Fuselaje,2019-05-10,1.8707,,,542.4793,OK
3369,Motor,2021-02-19,4.4668,-23.6865,61.7832,375.8045,KO
4729,Nuevo_1,2018-12-01,1.1251,31.6139,39.261,323.5021,KO
7477,Motor,2018-07-14,1.1603,49.578,41.6512,134.7469,KO
4482,Motor,2020-11-25,4.3261,77.9012,55.7905,561.1594,KO
6780,Nuevo_1,2022-04-10,1.9494,26.4635,53.6845,163.7335,Nuevo_1
1282,Fuselaje,2018-10-22,3.2941,7.3484,67.2126,650.0477,OK
4329,Avionica,2018-06-21,4.3011,87.327,60.4414,757.7464,KO
3404,Alas,2018-12-01,1.4286,47.5858,50.8118,393.8723,OK
1578,Avionica,2021-07-21,3.8036,43.4236,54.1911,890.9412,KO
6908,Motor,2020-10-27,4.9247,35.6664,74.9942,435.9905,KO
3866,Nuevo_3,2018-11-12,2.6747,79.9185,61.2365,837.5254,OK
5495,Nuevo_3,2021-02-11,2.6994,95.4524,52.5791,754.8193,KO
5221,Fuselaje,2018-02-22,1.4006,,45.8866,289.5694,KO
4587,Avionica,2020-01-08,2.202,103.5463,167.283,455.9765,OK
6340,Avionica,2021-08-18,2.5886,71.302,50.6349,518.7264,OK
6633,Nuevo_1,2019-11-20,2.0185,59.1811,52.4079,235.4442,KO
1882,Motor,2018-05-29,1.4164,2.0446,28.3932,836.2143,OK
3592,Avionica,2019-10-09,3.0099,44.9318,51.6436,517.5152,KO
4243,Motor,2022-12-11,1.2215,143.9475,24.5915,743.8284,Nuevo_2
2652,Alas,2019-04-08,,,27.5892,956.7728,OK
3771,Avionica,2021-04-15,,,43.4785,902.3925,Nuevo_5
6127,Motor,2018-11-17,3.1978,13.1772,44.5906,293.4462,KO
1889,Fuselaje,2020-07-03,1.408,99.0693,44.3029,995.6546,OK
