ID_Juguete,Material,Edad_Recomendada,Peso_g,Tiempo_Producción_min,Normativa_Cumplida,Aprobación_Final
31,Nuevo_1,0-2 años,175.62819197214438,80.0,ISO 8124,No
32,Nuevo_1,3-5 años,426.8626095316866,16.0,Nuevo_4,Nuevo_3
33,Plástico,Nuevo_2,,103.0,ISO 8124,Nuevo_5
34,Madera,3-5 años,,116.0,Nuevo_2,Sí
35,,3-5 años,788.5554482242991,65.0,CE,No
36,Metal,Nuevo_2,252.09905486987992,50.0,CE,Sí
37,Nuevo_2,6-10 años,990.6906227579497,83.0,ASTM F963,Nuevo_3
38,,3-5 años,,113.0,ISO 8124,Sí
39,Nuevo_5,Nuevo_3,852.6115820357124,6.0,CE,Nuevo_1
40,Madera,0-2 años,703.9195579774968,9.0,ISO 8124,No
41,Madera,3-5 años,351.021795447738,111.0,CE,Nuevo_4
42,Metal,6-10 años,460.05728917185314,12.0,CE,Nuevo_5
43,Plástico,6-10 años,979.0059623605453,10.0,CE,Nuevo_4
44,Nuevo_4,Nuevo_1,755.4158664797881,90.0,Nuevo_1,Nuevo_3
45,Tela,Nuevo_4,353.51043986481386,84.0,ASTM F963,Sí
46,Madera,Nuevo_2,108.93109478922176,31.0,ASTM F963,Nuevo_1
47,Metal,3-5 años,266.2392576973272,16.0,CE,Nuevo_2
48,Plástico,0-2 años,808.0911102915948,117.0,CE,Sí
49,Plástico,Nuevo_5,798.1937642228597,76.0,CE,Nuevo_1
50,Metal,3-5 años,439.1436874210073,89.0,ISO 8124,No
51,Nuevo_2,0-2 años,392.1775055246104,91.0,Nuevo_2,Sí
52,Tela,Nuevo_3,504.2762261314781,112.0,ASTM F963,Nuevo_2
53,Tela,3-5 años,156.80856585744257,85.0,Nuevo_1,Nuevo_2
54,Nuevo_3,Nuevo_5,632.7345307467307,28.0,Nuevo_1,Sí
55,Tela,0-2 años,,40.0,ISO 8124,Nuevo_3
56,Madera,3-5 años,701.9133300089484,28.0,ISO 8124,No
57,Tela,0-2 años,272.82345135610285,42.0,CE,Nuevo_5
58,Metal,11+ años,282.56240226295847,105.0,ISO 8124,Sí
59,Metal,Nuevo_3,4860.912061139632,39.0,ISO 8124,Nuevo_1
60,,0-2 años,737.5403788556823,75.0,ASTM F963,No
61,Plástico,Nuevo_5,921.4169984006502,104.0,ISO 8124,Sí
62,Nuevo_1,3-5 años,244.5227671641774,87.0,ASTM F963,Sí
63,Tela,11+ años,722.2407621149221,81.0,ASTM F963,Sí
64,Metal,6-10 años,322.74900052432525,82.0,ISO 8124,Sí
65,,Nuevo_5,628.4182152781999,38.0,ISO 8124,No
66,Nuevo_2,11+ años,527.7940230799628,119.0,CE,No
67,Tela,0-2 años,514.6239235304308,75.0,Nuevo_3,No
68,Nuevo_5,11+ años,717.0651456503638,12.0,Nuevo_1,No
69,,3-5 años,609.7202863298203,53.0,CE,Nuevo_5
70,Metal,11+ años,144.1258025589101,88.0,ISO 8124,Nuevo_5
71,Metal,3-5 años,817.5263792721393,15.0,ASTM F963,Sí
72,Nuevo_4,Nuevo_1,112.05968103044772,8.0,CE,Sí
73,,11+ años,567.2940342637373,14.0,ISO 8124,Sí
74,Tela,,,80.0,ASTM F963,Nuevo_3
75,,,399.96632344849286,34.0,CE,No
76,Tela,3-5 años,252.7426934253447,63.0,ISO 8124,Sí
77,Nuevo_2,Nuevo_4,943.43609769354,53.0,CE,No
78,Tela,6-10 años,762.904092406858,113.0,Nuevo_1,Sí
79,Metal,6-10 años,600.7510129297491,66.0,ASTM F963,Nuevo_4
80,Nuevo_3,3-5 años,474.24243067105823,84.0,ASTM F963,No
81,Nuevo_1,6-10 años,685.9253653939999,33.0,ISO 8124,No
82,Tela,3-5 años,889.01724719383,13.0,Nuevo_5,No
83,Nuevo_2,,865.4734178916493,97.0,CE,No
84,Plástico,Nuevo_3,712.5686137380077,80.0,ASTM F963,Sí
85,Madera,,593.258772644874,11.0,Nuevo_2,Nuevo_1
86,Madera,Nuevo_1,158.0191322865777,103.0,Nuevo_3,No
87,Nuevo_5,6-10 años,332.2359399707396,81.0,Nuevo_5,No
88,Nuevo_5,Nuevo_4,734.0045745312085,81.0,ASTM F963,Sí
89,Madera,3-5 años,143.71660922963724,55.0,CE,Nuevo_4
90,Metal,0-2 años,,22.0,Nuevo_5,Sí
91,Nuevo_3,Nuevo_2,274.45132161435095,104.0,Nuevo_3,Nuevo_1
92,Tela,11+ años,51.9882889300747,75.0,ISO 8124,Nuevo_3
93,Nuevo_5,Nuevo_3,,25.0,ISO 8124,No
94,Nuevo_1,Nuevo_4,518.0522856474593,59.0,Nuevo_2,Nuevo_2
95,Plástico,Nuevo_5,751.3711529700619,85.0,CE,Sí
96,Plástico,Nuevo_3,1195.426113848113,72.0,ASTM F963,Nuevo_1
97,Metal,Nuevo_5,825.6483784473978,27.0,Nuevo_5,No
98,Madera,0-2 años,80.30690932258389,71.0,ASTM F963,No
99,Plástico,,228.0268310164316,69.0,CE,Sí
100,Nuevo_3,11+ años,950.1550228256845,70.0,CE,No
101,Madera,Nuevo_4,,61.0,ISO 8124,No
102,Madera,Nuevo_5,360.4951818421735,92.0,ASTM F963,Nuevo_3
103,Plástico,6-10 años,150.04053447982938,21.0,ISO 8124,Nuevo_3
104,Madera,,876.2580008041606,71.0,ASTM F963,Nuevo_5
105,Madera,3-5 años,652.4518986464316,78.0,Nuevo_1,No
106,,Nuevo_2,187.53797639134095,77.0,Nuevo_3,No
107,Nuevo_1,0-2 años,511.8039531562741,62.0,CE,Nuevo_3
108,Metal,0-2 años,965.5169858472944,31.0,Nuevo_1,Sí
109,Nuevo_5,6-10 años,577.4757093191655,213.70545020962032,Nuevo_5,No
110,Plástico,6-10 años,183.8023033535869,34.0,CE,Nuevo_5
111,Nuevo_2,6-10 años,706.4314612290356,38.0,ISO 8124,Sí
112,Madera,11+ años,,101.0,ISO 8124,Sí
113,Madera,6-10 años,504.6170724828635,57.0,CE,Nuevo_4
114,Tela,,868.6796805156197,65.0,ISO 8124,Sí
115,Plástico,Nuevo_2,575.1554111091789,103.0,ASTM F963,Nuevo_3
116,,11+ años,138.41608351761636,69.0,Nuevo_1,No
117,Metal,6-10 años,506.8279356101415,60.0,ISO 8124,Sí
118,Metal,6-10 años,632.4353008900996,84.0,ASTM F963,Nuevo_3
119,Nuevo_1,6-10 años,707.8661194904287,16.0,ISO 8124,Nuevo_3
120,Nuevo_2,0-2 años,782.5928309668334,60.0,ISO 8124,Nuevo_4
121,Plástico,6-10 años,865.8103716184534,55.0,Nuevo_2,Nuevo_5
122,Plástico,,84.82507061725757,68.0,CE,Nuevo_3
123,,6-10 años,881.4188860644394,56.0,CE,Nuevo_1
124,Metal,6-10 años,618.3467594200816,32.0,ISO 8124,Nuevo_2
125,Madera,6-10 años,302.39630775567866,18.0,ASTM F963,Sí
126,Nuevo_2,,991.8450296123724,71.0,CE,Nuevo_3
127,,3-5 años,741.189519270058,74.0,ISO 8124,Nuevo_5
128,Plástico,6-10 años,875.0975654140153,80.0,ISO 8124,No
129,Nuevo_5,0-2 años,90.39964032040668,89.0,CE,No
130,Nuevo_1,6-10 años,,37.0,ISO 8124,Nuevo_1
131,Metal,6-10 años,410.1554453654928,86.0,Nuevo_4,Nuevo_4
132,,0-2 años,128.7925595125559,47.0,Nuevo_5,No
133,Metal,0-2 años,924.4738130832636,27.0,ISO 8124,No
134,Nuevo_1,11+ años,773.3953443390986,57.0,CE,Sí
135,Plástico,11+ años,953.5267516744004,91.0,ISO 8124,Sí
136,Madera,3-5 años,971.8243849938268,88.0,Nuevo_1,No
137,Plástico,11+ años,,52.0,Nuevo_3,No
138,Plástico,6-10 años,915.2613549932822,41.0,ISO 8124,No
139,Madera,3-5 años,966.885083306576,77.0,CE,Sí
140,Metal,0-2 años,912.2278035518744,98.0,Nuevo_4,No
141,Tela,6-10 años,805.041762181419,25.0,CE,No
142,Madera,Nuevo_5,712.8259801354772,111.0,Nuevo_3,Nuevo_2
143,Metal,3-5 años,954.1175568898504,40.0,ISO 8124,Nuevo_3
144,,6-10 años,179.40870693213105,34.0,ISO 8124,Sí
145,Metal,,,80.0,Nuevo_5,Nuevo_4
146,Nuevo_2,6-10 años,879.2447112095824,68.0,ASTM F963,Nuevo_4
147,Nuevo_5,11+ años,313.2570034221398,81.0,CE,Nuevo_4
148,Nuevo_5,Nuevo_2,523.7647853078241,66.0,CE,Nuevo_5
149,Nuevo_1,Nuevo_5,823.1447292204016,42.0,ASTM F963,Sí
150,Nuevo_3,0-2 años,924.3947248061594,59.0,CE,Sí
151,,Nuevo_1,206.8824088777564,24.0,Nuevo_5,No
152,Nuevo_2,Nuevo_2,856.643455763302,18.0,Nuevo_1,No
153,Nuevo_3,3-5 años,,101.0,CE,No
154,Madera,0-2 años,422.4981616643711,53.0,ISO 8124,No
155,Madera,,68.39001085355633,75.0,Nuevo_2,Nuevo_1
156,Plástico,0-2 años,603.5387237983516,56.0,ASTM F963,Nuevo_1
157,Madera,6-10 años,960.0266818010178,50.0,ASTM F963,No
158,Tela,,698.2072789548414,79.0,Nuevo_5,Nuevo_5
159,Plástico,Nuevo_2,363.04677455945296,31.0,Nuevo_3,No
160,Madera,3-5 años,545.6980724557975,21.0,CE,Sí
161,Metal,0-2 años,222.479277701574,113.0,CE,No
162,Nuevo_3,0-2 años,315.25060956322,42.0,ISO 8124,No
163,,11+ años,415.47613864534816,66.0,ASTM F963,Nuevo_1
164,,0-2 años,333.65150074510655,51.0,ASTM F963,Sí
165,Nuevo_4,Nuevo_2,286.98836012471315,85.0,ASTM F963,No
166,,,,42.0,ISO 8124,Sí
167,Metal,0-2 años,828.0234155863835,113.0,ISO 8124,Sí
168,Tela,3-5 años,125.9616077718467,45.0,ISO 8124,No
169,Madera,6-10 años,248.20820934699665,60.0,ASTM F963,No
170,Nuevo_4,11+ años,977.9649860372178,72.0,ASTM F963,Nuevo_1
171,Metal,11+ años,838.6480070537833,76.0,CE,Sí
172,Nuevo_1,11+ años,386.4565183894485,33.0,ISO 8124,Sí
173,Nuevo_2,Nuevo_3,61.92192863580069,110.0,CE,Nuevo_2
174,,Nuevo_4,103.85068877174352,63.0,ISO 8124,Nuevo_5
175,Plástico,Nuevo_5,807.0171113603647,100.0,Nuevo_2,No
176,Nuevo_4,3-5 años,772.8595273901025,97.0,Nuevo_1,No
177,Tela,6-10 años,938.9684424124732,28.0,ISO 8124,Sí
178,Tela,6-10 años,915.900334195893,237.45050023291148,ASTM F963,No
179,Madera,Nuevo_4,173.3644449678727,11.0,Nuevo_4,Nuevo_4
180,Madera,6-10 años,3343.9120258581324,100.0,CE,Nuevo_4
181,Metal,6-10 años,239.03729705428785,6.0,Nuevo_2,No
182,Metal,11+ años,,69.0,ISO 8124,Sí
183,Plástico,11+ años,416.7546330761244,79.0,CE,Nuevo_3
184,Madera,Nuevo_1,752.5113651416099,62.0,CE,Nuevo_1
185,Plástico,11+ años,198.50892139503776,13.0,ASTM F963,Nuevo_1
186,Metal,6-10 años,181.05949216500824,24.0,ASTM F963,No
187,Plástico,Nuevo_2,993.7595602067676,71.0,Nuevo_2,Sí
188,Metal,3-5 años,688.7973618294917,19.0,ISO 8124,No
189,Madera,11+ años,210.49327283150345,66.0,ISO 8124,Nuevo_4
190,Nuevo_2,11+ años,680.9532894670463,16.0,CE,Sí
191,Plástico,6-10 años,,57.0,ASTM F963,Nuevo_4
192,Madera,11+ años,720.9460897305675,40.0,ASTM F963,No
193,Nuevo_1,3-5 años,230.42078135398972,6.0,CE,No
194,Nuevo_5,Nuevo_5,,97.0,ASTM F963,No
195,Nuevo_1,11+ años,,92.0,CE,Nuevo_4
196,Tela,0-2 años,809.1569653278035,69.0,CE,No
197,Plástico,Nuevo_3,543.5891499623681,28.0,ISO 8124,No
198,Plástico,,224.4194701801912,39.0,ISO 8124,No
199,Madera,0-2 años,396.3695602101846,35.0,ISO 8124,Nuevo_3
200,Metal,Nuevo_1,860.5152151874127,44.0,ASTM F963,Nuevo_5
201,Metal,Nuevo_5,,95.0,Nuevo_1,No
202,Madera,11+ años,443.73240867272375,104.0,ISO 8124,No
203,,0-2 años,457.80034929186473,67.0,ISO 8124,Nuevo_3
204,Metal,6-10 años,322.1597358678084,6.0,CE,Nuevo_4
205,Nuevo_3,11+ años,,24.0,ISO 8124,No
206,Plástico,3-5 años,819.3915408603734,11.0,Nuevo_1,No
207,Nuevo_2,3-5 años,74.62135937402707,43.0,Nuevo_4,Nuevo_2
208,,6-10 años,414.99115540421394,60.0,ASTM F963,Nuevo_4
209,Plástico,3-5 años,656.6977911169266,22.0,ISO 8124,Sí
210,Plástico,Nuevo_5,979.2460955140524,107.0,ASTM F963,No
211,,11+ años,472.5356484013831,87.0,Nuevo_5,Nuevo_5
212,Plástico,3-5 años,526.4088790778197,19.0,ISO 8124,No
213,Nuevo_3,Nuevo_1,439.349766362438,41.0,CE,No
214,Tela,11+ años,212.1772620171413,117.0,ASTM F963,Nuevo_5
215,Plástico,Nuevo_5,995.2758538166364,114.0,Nuevo_3,No
216,,11+ años,471.3458088988027,83.0,ASTM F963,Nuevo_3
217,Plástico,3-5 años,712.4539288103463,105.0,ISO 8124,Nuevo_4
218,Tela,0-2 años,102.3407270429929,108.0,ISO 8124,Nuevo_2
219,Madera,3-5 años,270.8439347249208,51.0,CE,Sí
220,Nuevo_1,6-10 años,176.66055896226567,77.0,CE,No
221,Nuevo_4,3-5 años,615.4448783375299,64.0,Nuevo_3,Nuevo_4
222,Metal,0-2 años,706.1504558203784,70.0,Nuevo_4,Nuevo_2
223,Plástico,,693.2402034014226,74.0,ISO 8124,Nuevo_1
224,Nuevo_4,0-2 años,,68.0,CE,No
225,Madera,3-5 años,,55.0,Nuevo_5,No
226,Plástico,0-2 años,598.4803163208724,46.0,ASTM F963,No
227,Plástico,,164.79933039647284,106.0,CE,Nuevo_1
228,Nuevo_3,Nuevo_3,537.4765770497422,42.0,ASTM F963,No
229,Tela,6-10 años,474.1639071245901,89.0,Nuevo_4,Nuevo_3
230,Tela,0-2 años,300.7844275520156,88.0,ASTM F963,Sí
231,Madera,,524.2364730440394,25.0,CE,Sí
232,Plástico,6-10 años,724.6145650186967,118.0,ASTM F963,Nuevo_2
233,Metal,11+ años,579.7099919434052,50.0,ISO 8124,No
234,Tela,Nuevo_1,76.57700716579038,55.0,CE,No
235,Tela,11+ años,568.2613396760992,74.0,CE,Nuevo_5
236,Plástico,Nuevo_2,424.6082893650815,46.0,Nuevo_5,Sí
237,Plástico,3-5 años,545.3127857009722,13.0,CE,No
238,Plástico,11+ años,583.3238300331174,109.0,ISO 8124,Sí
239,,6-10 años,938.7479605897078,101.0,ISO 8124,No
240,Plástico,Nuevo_1,,12.0,ISO 8124,Sí
241,Metal,6-10 años,801.3631843431857,49.0,ISO 8124,Sí
242,Metal,11+ años,422.33835468811634,15.0,CE,Nuevo_4
243,Nuevo_3,11+ años,674.6539551729566,82.0,ASTM F963,Nuevo_1
244,Metal,0-2 años,491.914715002644,16.0,ASTM F963,Nuevo_5
245,Tela,6-10 años,90.21337885741372,83.0,ASTM F963,Nuevo_3
246,Metal,3-5 años,463.2241357145376,95.0,ISO 8124,Sí
247,Madera,6-10 años,263.0325577774717,16.0,ISO 8124,Sí
248,Madera,Nuevo_2,948.2653249387628,100.0,ASTM F963,No
249,,0-2 años,779.2211987190531,11.0,ASTM F963,Sí
250,Tela,11+ años,722.2820667920035,93.0,CE,Sí
251,Nuevo_3,11+ años,490.72437653368456,99.0,ASTM F963,Nuevo_1
252,Madera,3-5 años,221.61778145356743,118.0,ISO 8124,No
253,Tela,6-10 años,246.78100507628025,108.0,ASTM F963,Nuevo_5
254,,6-10 años,969.99805532802,62.0,ASTM F963,Nuevo_2
255,Metal,3-5 años,984.5835479398,79.0,Nuevo_2,Sí
256,Metal,Nuevo_1,992.5941451155873,37.0,ASTM F963,Sí
257,Metal,11+ años,422.4058157831768,24.0,Nuevo_5,Sí
258,Metal,0-2 años,321.85435371354305,41.0,ISO 8124,Sí
259,Nuevo_2,6-10 años,174.97203260793702,62.0,ASTM F963,Nuevo_1
260,Tela,6-10 años,156.67044246995331,99.0,ISO 8124,Nuevo_2
261,Plástico,11+ años,430.993599718293,65.0,ASTM F963,Sí
262,Nuevo_1,3-5 años,619.0268108377285,28.0,CE,Sí
263,Metal,6-10 años,101.31060810579228,46.0,ISO 8124,Nuevo_4
264,Madera,3-5 años,498.416407398452,82.0,CE,No
265,Plástico,6-10 años,904.092607085482,28.0,CE,No
266,Metal,3-5 años,859.6791134616444,14.0,ISO 8124,Nuevo_4
267,,6-10 años,630.5537595553611,37.0,ISO 8124,Nuevo_4
268,Madera,11+ años,585.003310857597,47.0,ISO 8124,No
269,Plástico,Nuevo_2,240.15390478359717,60.0,ASTM F963,Nuevo_2
270,Tela,0-2 años,463.1102350620558,92.0,Nuevo_4,No
271,Madera,11+ años,852.216234945304,109.0,Nuevo_1,Nuevo_1
272,Madera,Nuevo_4,990.634842416136,5.0,CE,Nuevo_4
273,Madera,0-2 años,598.8636583193204,32.0,ISO 8124,Sí
274,Madera,Nuevo_3,267.4733218920832,86.0,CE,No
275,Tela,6-10 años,281.4985930924525,116.0,Nuevo_2,No
276,,6-10 años,801.8708999857913,37.0,ISO 8124,No
277,Plástico,6-10 años,847.7106068970019,85.0,ASTM F963,No
278,Tela,11+ años,428.6244220642467,29.0,CE,No
279,,0-2 años,972.5824380233588,62.0,CE,Sí
280,Madera,0-2 años,,114.0,ASTM F963,Nuevo_3
281,Plástico,11+ años,,102.0,ISO 8124,No
282,Metal,Nuevo_3,760.4224146414736,112.0,ASTM F963,Nuevo_4
283,Madera,0-2 años,867.2873285701686,27.0,CE,Sí
284,Metal,6-10 años,387.496153772465,73.0,CE,Nuevo_5
285,Plástico,Nuevo_4,852.6741975786832,119.0,ISO 8124,Sí
286,Nuevo_2,11+ años,804.9807732889801,97.0,CE,No
287,Metal,0-2 años,969.389268742596,31.0,Nuevo_5,Sí
288,Tela,,326.5290119498504,32.0,ISO 8124,Sí
289,Nuevo_3,0-2 años,163.53541980695678,118.0,CE,No
290,Metal,0-2 años,837.3324220561893,59.0,ISO 8124,Sí
291,Nuevo_1,11+ años,764.210551571562,76.0,ASTM F963,Nuevo_5
292,Tela,0-2 años,334.47209311954504,65.0,Nuevo_3,Sí
293,Madera,6-10 años,987.1674304932192,118.0,ASTM F963,Nuevo_3
294,Madera,3-5 años,539.1824681672034,21.0,Nuevo_4,Sí
295,Madera,3-5 años,488.1075823606529,36.0,ISO 8124,Sí
296,Madera,11+ años,886.5170936574762,66.0,ISO 8124,Sí
297,Plástico,11+ años,619.4099495052272,20.0,ISO 8124,No
298,Metal,11+ años,645.781479247376,94.0,CE,Sí
299,Madera,0-2 años,408.5121085205645,69.0,Nuevo_4,No
300,Madera,,454.807476704145,60.0,CE,Nuevo_1
301,,,548.1699585275452,104.0,Nuevo_5,Sí
302,,0-2 años,957.1907141320124,81.0,CE,No
303,Nuevo_5,3-5 años,904.6040125845695,77.0,Nuevo_2,No
304,Plástico,Nuevo_3,538.7619697264158,63.0,CE,Sí
305,Nuevo_4,Nuevo_1,535.7177012314241,44.0,Nuevo_2,Sí
306,Nuevo_4,Nuevo_1,297.6767116337845,56.0,Nuevo_3,No
307,Tela,6-10 años,267.1435513147228,90.0,CE,Sí
308,Madera,11+ años,535.9162938292291,46.0,Nuevo_3,Sí
309,Plástico,11+ años,425.48333591162304,101.0,ISO 8124,No
310,Metal,11+ años,832.7076558987756,109.0,Nuevo_2,Sí
311,,6-10 años,921.0779516715012,84.0,ISO 8124,Sí
312,Metal,Nuevo_4,857.2262327222613,87.0,ISO 8124,No
313,Plástico,6-10 años,,58.0,ISO 8124,Sí
314,Madera,Nuevo_4,760.7412049984175,57.0,CE,No
315,Plástico,11+ años,9484.756939069273,36.0,ASTM F963,Nuevo_3
316,,3-5 años,400.8242447159444,34.0,CE,Sí
317,,Nuevo_1,,51.0,CE,Sí
318,Metal,0-2 años,344.9422705663903,81.0,ISO 8124,No
319,Nuevo_1,3-5 años,949.4467397835,92.0,ASTM F963,Sí
320,Plástico,3-5 años,483.8762758163722,29.0,CE,Nuevo_3
321,Metal,3-5 años,936.5695234048962,49.0,Nuevo_1,Sí
322,Metal,0-2 años,549.0279190459638,43.0,ASTM F963,Nuevo_2
323,Madera,Nuevo_4,803.5826869306013,100.0,Nuevo_5,Nuevo_4
324,Metal,6-10 años,82.47716241636797,57.0,ISO 8124,Nuevo_5
325,Plástico,Nuevo_2,,106.0,CE,Nuevo_3
326,Metal,Nuevo_3,582.049594315486,109.0,ISO 8124,No
327,Nuevo_1,11+ años,227.1948328040298,102.0,ISO 8124,No
328,Metal,11+ años,730.2816752679856,108.0,CE,Nuevo_3
329,,,,45.0,ISO 8124,No
330,Nuevo_3,0-2 años,,77.0,Nuevo_4,Sí
331,Metal,11+ años,556.4229017301417,50.0,CE,Sí
332,Nuevo_2,Nuevo_2,549.0304158970207,80.0,Nuevo_1,Sí
333,Plástico,11+ años,640.7765858693814,13.0,ISO 8124,Nuevo_2
334,Metal,3-5 años,543.2929116712864,67.0,Nuevo_4,Nuevo_2
335,Nuevo_1,Nuevo_1,800.7412491017847,76.0,ASTM F963,No
336,Nuevo_3,11+ años,381.2855160455561,43.0,Nuevo_1,No
337,Nuevo_4,0-2 años,530.0799669666972,11.0,Nuevo_4,No
338,Plástico,3-5 años,780.6295647673323,5.0,ASTM F963,Nuevo_1
339,Tela,6-10 años,440.6900528868599,47.0,Nuevo_2,No
340,Nuevo_4,6-10 años,254.89497941222032,115.0,CE,No
341,Metal,6-10 años,895.9629817430808,68.0,ISO 8124,Nuevo_5
342,Metal,Nuevo_5,,37.0,ISO 8124,No
343,Metal,0-2 años,720.9378445116441,43.0,Nuevo_3,No
344,Tela,11+ años,853.0264438688537,22.0,ISO 8124,Sí
345,Metal,11+ años,258.5259034504882,81.0,Nuevo_5,Sí
346,Nuevo_4,0-2 años,218.4239382250582,116.0,ASTM F963,No
347,Plástico,0-2 años,589.9991399696083,66.0,ISO 8124,Sí
348,Plástico,6-10 años,383.5173995870631,64.0,ASTM F963,No
349,Plástico,6-10 años,856.3630732761357,15.0,ASTM F963,Sí
350,Plástico,11+ años,590.9948521923544,83.0,ISO 8124,Nuevo_1
351,Nuevo_2,11+ años,830.5321787388675,107.0,Nuevo_1,Sí
352,Nuevo_3,,172.38448641299698,96.0,Nuevo_4,Nuevo_4
353,,Nuevo_4,231.36164072332397,95.0,Nuevo_1,Sí
354,Nuevo_2,3-5 años,889.6316614656865,45.0,CE,No
355,Madera,3-5 años,859.0936584165627,91.0,Nuevo_5,Sí
356,Tela,11+ años,452.439925914881,59.0,ASTM F963,Sí
357,Tela,6-10 años,352.1664104519546,98.0,Nuevo_2,No
358,Nuevo_2,0-2 años,851.7185624318079,114.0,CE,Nuevo_3
359,Metal,Nuevo_5,401.1377505754449,48.0,Nuevo_5,Nuevo_4
360,Nuevo_4,Nuevo_3,808.2334149447756,64.0,CE,No
361,Nuevo_5,11+ años,199.72007230959665,5.0,CE,Sí
362,Plástico,Nuevo_2,189.258417852476,19.0,ISO 8124,Nuevo_2
363,Metal,11+ años,156.9705688497453,109.0,CE,Sí
364,,6-10 años,121.73357911170788,20.0,CE,Sí
365,Plástico,11+ años,102.15813679373898,71.0,Nuevo_5,Nuevo_2
366,Tela,11+ años,749.0970659239132,24.0,ASTM F963,No
367,Nuevo_4,11+ años,88.63215050870907,104.0,Nuevo_4,Nuevo_5
368,Madera,6-10 años,688.6980860254585,114.0,CE,No
369,Plástico,3-5 años,964.2102646087033,27.0,ASTM F963,Nuevo_1
370,Tela,3-5 años,690.4264182705057,115.0,ASTM F963,Nuevo_3
371,,Nuevo_4,389.20264126076864,20.0,ISO 8124,No
372,Nuevo_5,3-5 años,105.46413385811633,67.0,CE,Sí
373,Metal,Nuevo_2,840.2739276208662,91.0,Nuevo_2,Nuevo_1
374,Plástico,Nuevo_1,745.1425452471234,106.0,Nuevo_5,No
375,Madera,11+ años,690.4204316503959,59.0,CE,Sí
376,Madera,3-5 años,,52.0,CE,No
377,Metal,,461.3166215409274,86.0,CE,No
378,,0-2 años,150.4486289467635,60.0,ASTM F963,Sí
379,Madera,Nuevo_2,225.26810057730367,20.0,ISO 8124,Nuevo_4
380,Plástico,11+ años,775.6782690961826,36.0,CE,Sí
381,Tela,0-2 años,968.7006007694168,60.0,ASTM F963,Sí
382,Metal,Nuevo_1,871.5868791632828,32.0,ASTM F963,No
383,Metal,11+ años,,86.0,Nuevo_5,No
384,Metal,Nuevo_1,601.7284033074334,19.0,CE,Nuevo_1
385,Madera,0-2 años,,50.0,ISO 8124,No
386,Nuevo_5,3-5 años,171.76641961553187,57.0,Nuevo_1,Sí
387,Nuevo_5,6-10 años,930.5091567836286,86.0,ISO 8124,No
388,,6-10 años,793.1762253317904,84.0,ISO 8124,No
389,Nuevo_5,11+ años,167.32644318167598,43.0,ISO 8124,No
390,Madera,0-2 años,,8.0,ISO 8124,No
391,Metal,0-2 años,70.84723120554042,86.0,ASTM F963,Nuevo_1
392,,Nuevo_3,824.6567441956452,61.0,ISO 8124,No
393,Metal,3-5 años,499.69898533333736,65.0,Nuevo_1,Sí
394,Nuevo_3,Nuevo_5,996.3062125297288,40.0,Nuevo_4,No
395,Plástico,3-5 años,325.77287444280927,14.0,ASTM F963,Nuevo_4
396,,Nuevo_2,670.1393552306635,43.0,ISO 8124,Sí
